,Detalhes_link
0,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/293703902
1,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/293703902
2,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/293703902
3,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/293703902
4,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/293703902
5,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/293703902
6,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/293703902
7,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/293703902
8,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/293703902
9,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/293703902
10,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/293703902
11,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/293703902
12,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/306072535
13,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/306072535
14,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/306072535
15,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/306072535
16,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/306072535
17,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/306072535
18,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/306072535
19,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/306072535
20,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/306072535
21,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/306072535
22,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/306072535
23,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/306072535
24,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307216712
25,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307216712
26,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307216712
27,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307216712
28,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307216712
29,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307216712
30,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307769062
31,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307769062
32,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307769062
33,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307769062
34,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307769062
35,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307769062
36,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307769062
37,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307769062
38,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307769062
39,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307769062
40,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307769062
41,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307769062
42,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/301132339
43,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/301132339
44,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/301132339
45,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/301132339
46,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/301132339
47,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/301132339
48,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/301132339
49,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/301132339
50,h
51,t
52,t
53,p
54,s
55,:
56,/
57,/
58,p
59,o
60,r
61,t
62,a
63,l
64,d
65,a
66,t
67,r
68,a
69,n
70,s
71,p
72,a
73,r
74,e
75,n
76,c
77,i
78,a
79,.
80,g
81,o
82,v
83,.
84,b
85,r
86,/
87,b
88,e
89,n
90,e
91,f
92,i
93,c
94,i
95,o
96,s
97,/
98,b
99,o
100,l
101,s
102,a
103,-
104,f
105,a
106,m
107,i
108,l
109,i
110,a
111,/
112,3
113,0
114,1
115,1
116,3
117,2
118,3
119,3
120,9
121,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307182039
122,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307182039
123,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307182039
124,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307182039
125,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307182039
126,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307182039
127,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307182039
128,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307182039
129,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307182039
130,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307182039
131,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307182039
132,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/307182039
133,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/294025946
134,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/280798000
135,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/280798000
136,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/280798000
137,https://portaldatransparencia.gov.br/beneficios/bolsa-familia/280798000
