,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Processo judicial de 1ª Instância,NESTOR GOULART ROCHA E SILVA JÚNIOR,08008576020238190015,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CANTAGALO
1,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Processo judicial de 1ª Instância,NESTOR GOULART ROCHA E SILVA JÚNIOR,08004727820248190015,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CANTAGALO
2,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Processo judicial de 1ª Instância,NESTOR GOULART ROCHA E SILVA JÚNIOR,08003774820248190015,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CANTAGALO
3,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Processo judicial de 1ª Instância,NESTOR GOULART ROCHA E SILVA JÚNIOR,00022612420198190015,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CANTAGALO
4,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Processo judicial de 1ª Instância,NESTOR GOULART ROCHA E SILVA JÚNIOR,01721672020208190001,05/07/2024,05/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CANTAGALO
5,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Inquérito policial,NESTOR GOULART ROCHA E SILVA JÚNIOR,200000012024,08/07/2024,08/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CANTAGALO
6,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Inquérito policial,NESTOR GOULART ROCHA E SILVA JÚNIOR,153001142024,19/06/2024,19/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CANTAGALO
7,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Inquérito policial,NESTOR GOULART ROCHA E SILVA JÚNIOR,153007422023,19/06/2024,19/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CANTAGALO
8,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Inquérito policial,NESTOR GOULART ROCHA E SILVA JÚNIOR,153005562019,12/06/2024,12/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CANTAGALO
9,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Notícia de Fato (Peça de Informação),NESTOR GOULART ROCHA E SILVA JÚNIOR,202400558469,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE CANTAGALO
10,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Notícia de Fato (Peça de Informação),NESTOR GOULART ROCHA E SILVA JÚNIOR,202400580519,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE CANTAGALO
11,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Notícia de Fato (Peça de Informação),NESTOR GOULART ROCHA E SILVA JÚNIOR,202400469466,11/07/2024,11/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE CANTAGALO
12,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Procedimento Administrativo,NESTOR GOULART ROCHA E SILVA JÚNIOR,202301080127,08/07/2024,08/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE CANTAGALO
13,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Notícia de Fato (Peça de Informação),NESTOR GOULART ROCHA E SILVA JÚNIOR,202400014082,08/07/2024,08/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE CANTAGALO
14,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Notícia de Fato (Peça de Informação),NESTOR GOULART ROCHA E SILVA JÚNIOR,202301245778,08/07/2024,08/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE CANTAGALO
15,CANTAGALO,PROMOTORIA DE JUSTIÇA DE CANTAGALO,Notícia de Fato (Peça de Informação),NESTOR GOULART ROCHA E SILVA JÚNIOR,202400317273,09/05/2024,09/05/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE CANTAGALO
16,CANTAGALO,101ª PROMOTORIA ELEITORAL - CANTAGALO,Expediente ouvidoria,NESTOR GOULART ROCHA E SILVA JÚNIOR,202400610310,28/06/2024,28/06/2024,Expediente ouvidoria,101ª PROMOTORIA ELEITORAL - CANTAGALO
