,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00011445920238190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
1,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00270753520218190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
2,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00087088920238190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
3,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,08132594520248190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
4,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,01849252620238190001,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
5,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00140490420208190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
6,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00026746420248190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
7,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00026729420248190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
8,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00025343020248190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
9,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00013520920248190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
10,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00011339320248190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
11,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00010836720248190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
12,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00008610720218190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
13,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,08116887320238190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
14,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00054255820238190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
15,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00022785820228190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
16,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00107926320238190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
17,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00286719820148190014,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
18,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,08106915620248190014,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
19,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,08140184320238190014,05/07/2024,05/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
20,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,00102329220218190014,01/07/2024,01/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
21,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Notícia de Fato (Peça de Informação),PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,202400484113,04/07/2024,04/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
22,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Procedimento Administrativo,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,202300959810,03/07/2024,03/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
23,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Procedimento Administrativo,PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,202300751829,01/07/2024,01/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
24,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES,Notícia de Fato (Peça de Informação),PATRÍCIA MONTEIRO ALVES MOREIRA BARANDA,202400595391,24/06/2024,24/06/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE CAMPOS DOS GOYTACAZES
25,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,LUIZ CLÁUDIO CARVALHO DE ALMEIDA,08267522620238190014,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO CAMPOS DOS GOYTACAZES
26,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,LUIZ CLÁUDIO CARVALHO DE ALMEIDA,08214484620238190014,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO CAMPOS DOS GOYTACAZES
27,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,LUIZ CLÁUDIO CARVALHO DE ALMEIDA,08152858420228190014,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO CAMPOS DOS GOYTACAZES
28,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,LUIZ CLÁUDIO CARVALHO DE ALMEIDA,08136197720248190014,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO CAMPOS DOS GOYTACAZES
29,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,LUIZ CLÁUDIO CARVALHO DE ALMEIDA,08029448920238190014,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO CAMPOS DOS GOYTACAZES
30,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO CAMPOS DOS GOYTACAZES,Processo judicial de 1ª Instância,LUIZ CLÁUDIO CARVALHO DE ALMEIDA,08270008920238190014,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO CAMPOS DOS GOYTACAZES
31,CAMPOS DOS GOYTACAZES,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO CAMPOS DOS GOYTACAZES,Notícia de Fato (Peça de Informação),LUIZ CLÁUDIO CARVALHO DE ALMEIDA,202400048588,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO CAMPOS DOS GOYTACAZES
