,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,CARAPEBUS/QUISSAMÃ,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ,Processo judicial de 1ª Instância,ISMAEL AUGUSTO SIRIEIRO MONTEIRO,00007572820238190084,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ
1,CARAPEBUS/QUISSAMÃ,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ,Processo judicial de 1ª Instância,ISMAEL AUGUSTO SIRIEIRO MONTEIRO,00000858320248190084,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ
2,CARAPEBUS/QUISSAMÃ,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ,Processo judicial de 1ª Instância,ISMAEL AUGUSTO SIRIEIRO MONTEIRO,08004608520238190084,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ
3,CARAPEBUS/QUISSAMÃ,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ,Processo judicial de 1ª Instância,ISMAEL AUGUSTO SIRIEIRO MONTEIRO,00002520320248190084,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ
4,CARAPEBUS/QUISSAMÃ,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ,Processo judicial de 1ª Instância,ISMAEL AUGUSTO SIRIEIRO MONTEIRO,00001034620208190084,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ
5,CARAPEBUS/QUISSAMÃ,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ,Processo judicial de 1ª Instância,ISMAEL AUGUSTO SIRIEIRO MONTEIRO,00000032320228190084,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ
6,CARAPEBUS/QUISSAMÃ,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ,Processo judicial de 1ª Instância,ISMAEL AUGUSTO SIRIEIRO MONTEIRO,00020334620138190084,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ
7,CARAPEBUS/QUISSAMÃ,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ,Processo judicial de 1ª Instância,ISMAEL AUGUSTO SIRIEIRO MONTEIRO,00019029520188190084,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ
8,CARAPEBUS/QUISSAMÃ,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ,Processo judicial de 1ª Instância,ISMAEL AUGUSTO SIRIEIRO MONTEIRO,00012718320208190084,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ
9,CARAPEBUS/QUISSAMÃ,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ,Processo judicial de 1ª Instância,ISMAEL AUGUSTO SIRIEIRO MONTEIRO,00007180220218190084,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CARAPEBUS / QUISSAMÃ
