,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Processo judicial de 1ª Instância,BRUNO RIVERO MONNERAT,08006988020248190016,13/07/2024,13/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CARMO
1,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Processo judicial de 1ª Instância,BRUNO RIVERO MONNERAT,08007317020248190016,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CARMO
2,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Processo judicial de 1ª Instância,BRUNO RIVERO MONNERAT,00035582920208190016,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CARMO
3,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Processo judicial de 1ª Instância,BRUNO RIVERO MONNERAT,00048671720228190016,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CARMO
4,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Inquérito policial,BRUNO RIVERO MONNERAT,112006602021,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CARMO
5,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Inquérito policial,BRUNO RIVERO MONNERAT,112005172023,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CARMO
6,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Procedimento Administrativo,BRUNO RIVERO MONNERAT,202301021223,13/07/2024,13/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE CARMO
7,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Averiguação oficiosa de paternidade,BRUNO RIVERO MONNERAT,3721,11/07/2024,11/07/2024,Averiguação oficiosa de paternidade,PROMOTORIA DE JUSTIÇA DE CARMO
8,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Procedimento Preparatório,BRUNO RIVERO MONNERAT,202100676117,11/07/2024,11/07/2024,Procedimento Preparatório,PROMOTORIA DE JUSTIÇA DE CARMO
9,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Averiguação oficiosa de paternidade,BRUNO RIVERO MONNERAT,3672,11/07/2024,11/07/2024,Averiguação oficiosa de paternidade,PROMOTORIA DE JUSTIÇA DE CARMO
10,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Notícia de Fato (Peça de Informação),BRUNO RIVERO MONNERAT,202400656441,09/07/2024,09/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE CARMO
11,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Notícia de Fato (Peça de Informação),BRUNO RIVERO MONNERAT,202400652941,09/07/2024,09/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE CARMO
12,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Procedimento Administrativo,BRUNO RIVERO MONNERAT,202301021792,09/07/2024,09/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE CARMO
13,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Notícia de Fato (Peça de Informação),BRUNO RIVERO MONNERAT,202300822672,08/07/2024,08/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE CARMO
14,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Procedimento Administrativo,BRUNO RIVERO MONNERAT,201800820384,04/07/2024,04/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE CARMO
15,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Procedimento Administrativo,BRUNO RIVERO MONNERAT,202201094996,04/07/2024,04/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE CARMO
16,CARMO,PROMOTORIA DE JUSTIÇA DE CARMO,Notícia de Fato (Peça de Informação),BRUNO RIVERO MONNERAT,202400174481,03/07/2024,03/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE CARMO
17,CARMO,102ª PROMOTORIA ELEITORAL - CARMO,Processo eleitoral,RAFAEL LUIZ LEMOS DE SOUSA,06000213520246190102,22/06/2024,22/06/2024,Processo eleitoral,102ª PROMOTORIA ELEITORAL - CARMO
18,CARMO,102ª PROMOTORIA ELEITORAL - CARMO,Processo eleitoral,RAFAEL LUIZ LEMOS DE SOUSA,06000274220246190102,22/06/2024,22/06/2024,Processo eleitoral,102ª PROMOTORIA ELEITORAL - CARMO
19,CARMO,102ª PROMOTORIA ELEITORAL - CARMO,Processo eleitoral,RAFAEL LUIZ LEMOS DE SOUSA,06000205020246190102,22/06/2024,22/06/2024,Processo eleitoral,102ª PROMOTORIA ELEITORAL - CARMO
20,CARMO,102ª PROMOTORIA ELEITORAL - CARMO,Processo eleitoral,RAFAEL LUIZ LEMOS DE SOUSA,06000265720246190102,22/06/2024,22/06/2024,Processo eleitoral,102ª PROMOTORIA ELEITORAL - CARMO
