,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,08014739220248190017,13/07/2024,13/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
1,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00002221520008190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
2,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00160119120228190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
3,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00158776420228190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
4,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,08001609620248190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
5,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00004963620248190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
6,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00005772820238190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
7,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00004175720248190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
8,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00003304320208190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
9,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00029361020218190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
10,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00004946620248190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
11,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00004938120248190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
12,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,08008884020248190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
13,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,08014525320238190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
14,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,08029075320238190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
15,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,08012683420228190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
16,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,08000656620248190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
17,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,08014790220248190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
18,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,08006753420248190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
19,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00021541820128190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
20,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,08000656620248190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
21,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,08014790220248190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
22,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,08006753420248190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
23,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00021541820128190017,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
24,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,08020977820238190017,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
25,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00148016820238190014,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
26,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00035366020238190017,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
27,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00035002320208190017,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
28,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00006583620218190017,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
29,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,00001459720238190017,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
30,CASIMIRO DE ABREU,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU,Processo judicial de 1ª Instância,BRUNO MENEZES SANTAREM,08011378820248190017,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CASIMIRO DE ABREU
