,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Processo judicial de 1ª Instância,MARINA OLIVEIRA ANDRADE GOMES,08000919520238190018,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
1,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Processo judicial de 1ª Instância,MARINA OLIVEIRA ANDRADE GOMES,08001565620248190018,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
2,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Processo judicial de 1ª Instância,MARINA OLIVEIRA ANDRADE GOMES,00006379120208190018,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
3,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Processo judicial de 1ª Instância,MARINA OLIVEIRA ANDRADE GOMES,00008734820178190018,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
4,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Processo judicial de 1ª Instância,MARINA OLIVEIRA ANDRADE GOMES,08006765020238190018,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
5,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Processo judicial de 1ª Instância,MARINA OLIVEIRA ANDRADE GOMES,00016474420188190018,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
6,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Processo judicial de 1ª Instância,MARINA OLIVEIRA ANDRADE GOMES,00003393620198190018,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
7,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Processo judicial de 1ª Instância,MARINA OLIVEIRA ANDRADE GOMES,00123429320238190014,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
8,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Processo judicial de 1ª Instância,MARINA OLIVEIRA ANDRADE GOMES,08002166320238190018,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
9,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Processo judicial de 1ª Instância,MARINA OLIVEIRA ANDRADE GOMES,00015247020238190018,04/07/2024,04/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
10,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Processo judicial de 1ª Instância,MARINA OLIVEIRA ANDRADE GOMES,08008385520248190068,03/07/2024,03/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
11,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Processo judicial de 1ª Instância,MARINA OLIVEIRA ANDRADE GOMES,08005941920238190018,03/07/2024,03/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
12,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Processo judicial de 1ª Instância,MARINA OLIVEIRA ANDRADE GOMES,00015593020238190018,28/06/2024,28/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
13,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Processo judicial de 1ª Instância,MARINA OLIVEIRA ANDRADE GOMES,00001196220248190018,21/06/2024,21/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
14,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122003122024,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
15,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122006222023,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
16,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122003442024,10/07/2024,10/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
17,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122002922024,10/07/2024,10/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
18,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122003642024,10/07/2024,10/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
19,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122002762024,10/07/2024,10/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
20,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122003972023,08/07/2024,08/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
21,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122004492023,08/07/2024,08/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
22,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122001352024,08/07/2024,08/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
23,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122001942024,04/07/2024,04/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
24,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122002112024,02/07/2024,02/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
25,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122000182024,02/07/2024,02/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
26,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122002712024,02/07/2024,02/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
27,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122002522024,02/07/2024,02/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
28,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122005922023,02/07/2024,02/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
29,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122001782024,02/07/2024,02/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
30,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122002172024,01/07/2024,01/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
31,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122003562022,01/07/2024,01/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
32,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122005102022,01/07/2024,01/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
33,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122004102023,28/06/2024,28/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
34,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122002442023,26/06/2024,26/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
35,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122001352021,26/06/2024,26/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
36,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122005262019,26/06/2024,26/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
37,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122003902017,26/06/2024,26/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
38,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122000062024,19/06/2024,19/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
39,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122001392024,19/06/2024,19/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
40,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122006342023,18/06/2024,18/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
41,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122004122021,18/06/2024,18/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
42,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122000212024,18/06/2024,18/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
43,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122001812024,17/06/2024,17/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
44,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122001742024,17/06/2024,17/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
45,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122000772024,17/06/2024,17/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
46,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122001282024,15/06/2024,15/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
47,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122002002024,13/06/2024,13/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
48,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Inquérito policial,MARINA OLIVEIRA ANDRADE GOMES,122001532024,10/06/2024,10/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
49,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Notícia de Fato (Peça de Informação),MARINA OLIVEIRA ANDRADE GOMES,202400359408,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
50,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Notícia de Fato (Peça de Informação),MARINA OLIVEIRA ANDRADE GOMES,202400491791,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
51,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Habilitação de casamento,MARINA OLIVEIRA ANDRADE GOMES,4078,11/07/2024,11/07/2024,Habilitação de casamento,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
52,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Procedimento Administrativo,MARINA OLIVEIRA ANDRADE GOMES,201801038780,10/07/2024,10/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
53,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Procedimento Administrativo,MARINA OLIVEIRA ANDRADE GOMES,202300839215,08/07/2024,08/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
54,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Notícia de Fato (Peça de Informação),MARINA OLIVEIRA ANDRADE GOMES,202400364850,08/07/2024,08/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
55,CONCEIÇÃO DE MACABU,PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU,Notícia de Fato (Peça de Informação),MARINA OLIVEIRA ANDRADE GOMES,202301077225,08/07/2024,08/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE CONCEIÇÃO DE MACABU
