,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08007154420238190019,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
1,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08008164720248190019,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
2,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08003895020248190019,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
3,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08007498220248190019,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
4,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,00011018320188190019,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
5,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08005202520248190019,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
6,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08008623620248190019,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
7,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08005685220228190019,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
8,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08005205920238190019,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
9,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08007861220248190019,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
10,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,00006686920248190019,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
11,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,00043723220208190019,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
12,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,00003237420228190019,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
13,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08005748820248190019,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
14,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08003638620238190019,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
15,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08006658120248190019,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
16,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08017686020238190019,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
17,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,00050094620218190019,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
18,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,00017305720188190019,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
19,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08007272420248190019,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
20,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08008034820248190019,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
21,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08006216220248190019,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
22,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08005818020248190019,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
23,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08007841320228190019,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
24,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08005973420248190019,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
25,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,08005964920248190019,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
26,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,00005006720248190019,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
27,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Processo judicial de 1ª Instância,MARCELO FERNANDES GUIMARÃES,00016385020168190019,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE CORDEIRO
28,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154002322020,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
29,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154001872014,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
30,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154007192019,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
31,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154010102019,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
32,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154001122018,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
33,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154004522019,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
34,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154003712018,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
35,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154002712018,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
36,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154006632019,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
37,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154009892019,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
38,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154003522020,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
39,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154001972016,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
40,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154009292018,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
41,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154006082019,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
42,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154005022018,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
43,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154000932020,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
44,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154004752019,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
45,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154004182019,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
46,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154006852019,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
47,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154009652019,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
48,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154001872014,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
49,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154007192019,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
50,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154010102019,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
51,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154001122018,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
52,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154004522019,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
53,CORDEIRO,PROMOTORIA DE JUSTIÇA DE CORDEIRO,Inquérito policial,MARCELO FERNANDES GUIMARÃES,154003712018,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE CORDEIRO
