,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,DUAS BARRAS,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS,Processo judicial de 1ª Instância,EDUARDO LUIZ ROLINS DE FARIA,08004319620248190020,28/06/2024,28/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS
1,DUAS BARRAS,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS,Processo judicial de 1ª Instância,EDUARDO LUIZ ROLINS DE FARIA,08003569120238190020,28/06/2024,28/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS
2,DUAS BARRAS,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS,Processo judicial de 1ª Instância,EDUARDO LUIZ ROLINS DE FARIA,00000770720248190020,28/06/2024,28/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS
3,DUAS BARRAS,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS,Processo judicial de 1ª Instância,EDUARDO LUIZ ROLINS DE FARIA,00001074220248190020,28/06/2024,28/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS
4,DUAS BARRAS,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS,Processo judicial de 1ª Instância,EDUARDO LUIZ ROLINS DE FARIA,00001926220238190020,12/03/2024,12/03/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS
5,DUAS BARRAS,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS,Processo judicial de 1ª Instância,GIULIANO SETA DE SOUZA ROCHA,08003557220248190020,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS
6,DUAS BARRAS,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS,Processo judicial de 1ª Instância,GIULIANO SETA DE SOUZA ROCHA,00004873620228190020,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS
7,DUAS BARRAS,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS,Processo judicial de 1ª Instância,GIULIANO SETA DE SOUZA ROCHA,08003980920248190020,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS
8,DUAS BARRAS,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS,Processo judicial de 1ª Instância,GIULIANO SETA DE SOUZA ROCHA,00000476920248190020,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS
9,DUAS BARRAS,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS,Processo judicial de 1ª Instância,GIULIANO SETA DE SOUZA ROCHA,00002393620238190020,02/07/2024,02/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE DUAS BARRAS
