,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,DUQUE DE CAXIAS,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS,Processo judicial de 1ª Instância,DANIELA FARIA TAVARES,00489241820168190021,19/06/2024,19/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS
1,DUQUE DE CAXIAS,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS,Processo judicial de 1ª Instância,RENATA GOSENDE SIMÃO BARROSO FERNANDES,08237381320238190021,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS
2,DUQUE DE CAXIAS,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS,Processo judicial de 1ª Instância,RENATA GOSENDE SIMÃO BARROSO FERNANDES,08355250520248190021,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS
3,DUQUE DE CAXIAS,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS,Processo judicial de 1ª Instância,RENATA GOSENDE SIMÃO BARROSO FERNANDES,08240135920238190021,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS
4,DUQUE DE CAXIAS,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS,Processo judicial de 1ª Instância,RENATA GOSENDE SIMÃO BARROSO FERNANDES,00027638620128190021,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS
5,DUQUE DE CAXIAS,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS,Processo judicial de 1ª Instância,RENATA GOSENDE SIMÃO BARROSO FERNANDES,00156740420108190021,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS
6,DUQUE DE CAXIAS,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS,Processo judicial de 1ª Instância,RENATA GOSENDE SIMÃO BARROSO FERNANDES,00256571220198190021,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS
7,DUQUE DE CAXIAS,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS,Processo judicial de 1ª Instância,RENATA GOSENDE SIMÃO BARROSO FERNANDES,08198645420228190021,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS
8,DUQUE DE CAXIAS,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS,Processo judicial de 1ª Instância,RENATA GOSENDE SIMÃO BARROSO FERNANDES,08002835620228190020,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS
9,DUQUE DE CAXIAS,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS,Processo judicial de 1ª Instância,RENATA GOSENDE SIMÃO BARROSO FERNANDES,08167377420238190021,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS
10,DUQUE DE CAXIAS,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS,Processo judicial de 1ª Instância,RENATA GOSENDE SIMÃO BARROSO FERNANDES,08518379020238190021,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS
11,DUQUE DE CAXIAS,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS,Processo judicial de 1ª Instância,RENATA GOSENDE SIMÃO BARROSO FERNANDES,00402259620208190021,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS
12,DUQUE DE CAXIAS,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS,Processo judicial de 1ª Instância,RENATA GOSENDE SIMÃO BARROSO FERNANDES,08140462420228190021,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE DUQUE DE CAXIAS
