,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,ENGENHEIRO PAULO DE FRONTIN,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN,Processo judicial de 1ª Instância,IVANY DE SOUZA BASTOS,00000712820238190022,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN
1,ENGENHEIRO PAULO DE FRONTIN,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN,Processo judicial de 1ª Instância,IVANY DE SOUZA BASTOS,00003302820208190022,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN
2,ENGENHEIRO PAULO DE FRONTIN,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN,Processo judicial de 1ª Instância,IVANY DE SOUZA BASTOS,00085821420228190066,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN
3,ENGENHEIRO PAULO DE FRONTIN,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN,Processo judicial de 1ª Instância,IVANY DE SOUZA BASTOS,00007338920238190022,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN
4,ENGENHEIRO PAULO DE FRONTIN,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN,Processo judicial de 1ª Instância,IVANY DE SOUZA BASTOS,00003358420198190022,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN
5,ENGENHEIRO PAULO DE FRONTIN,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN,Processo judicial de 1ª Instância,IVANY DE SOUZA BASTOS,00012217220248190066,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN
6,ENGENHEIRO PAULO DE FRONTIN,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN,Processo judicial de 1ª Instância,IVANY DE SOUZA BASTOS,00002623920248190022,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN
7,ENGENHEIRO PAULO DE FRONTIN,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN,Processo judicial de 1ª Instância,IVANY DE SOUZA BASTOS,00001255720248190022,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN
8,ENGENHEIRO PAULO DE FRONTIN,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN,Processo judicial de 1ª Instância,IVANY DE SOUZA BASTOS,00002563220248190022,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN
9,ENGENHEIRO PAULO DE FRONTIN,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN,Processo judicial de 1ª Instância,IVANY DE SOUZA BASTOS,00616588020248190001,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ENGENHEIRO PAULO DE FRONTIN
