,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,GUAPIMIRIM,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM,Processo judicial de 1ª Instância,DIEGO ABREU DOS SANTOS FLORES DA SILVA,08010818120248190073,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM
1,GUAPIMIRIM,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM,Processo judicial de 1ª Instância,DIEGO ABREU DOS SANTOS FLORES DA SILVA,08007916620248190073,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM
2,GUAPIMIRIM,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM,Processo judicial de 1ª Instância,DIEGO ABREU DOS SANTOS FLORES DA SILVA,08004841520248190073,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM
3,GUAPIMIRIM,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM,Processo judicial de 1ª Instância,DIEGO ABREU DOS SANTOS FLORES DA SILVA,08035131020238190073,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM
4,GUAPIMIRIM,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM,Processo judicial de 1ª Instância,DIEGO ABREU DOS SANTOS FLORES DA SILVA,00000142220218190073,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM
5,GUAPIMIRIM,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM,Processo judicial de 1ª Instância,DIEGO ABREU DOS SANTOS FLORES DA SILVA,08015961920248190073,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM
6,GUAPIMIRIM,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM,Processo judicial de 1ª Instância,DIEGO ABREU DOS SANTOS FLORES DA SILVA,08013445020238190073,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM
7,GUAPIMIRIM,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM,Processo judicial de 1ª Instância,DIEGO ABREU DOS SANTOS FLORES DA SILVA,00045618120168190073,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM
8,GUAPIMIRIM,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM,Processo judicial de 1ª Instância,DIEGO ABREU DOS SANTOS FLORES DA SILVA,00002839520208190073,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM
9,GUAPIMIRIM,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM,Processo judicial de 1ª Instância,DIEGO ABREU DOS SANTOS FLORES DA SILVA,08016378320248190073,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM
10,GUAPIMIRIM,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM,Processo judicial de 1ª Instância,DIEGO ABREU DOS SANTOS FLORES DA SILVA,08016250620238190073,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM
11,GUAPIMIRIM,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM,Processo judicial de 1ª Instância,DIEGO ABREU DOS SANTOS FLORES DA SILVA,00105173920208190073,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM
12,GUAPIMIRIM,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM,Processo judicial de 1ª Instância,DIEGO ABREU DOS SANTOS FLORES DA SILVA,00100168520208190073,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM
13,GUAPIMIRIM,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM,Processo judicial de 1ª Instância,DIEGO ABREU DOS SANTOS FLORES DA SILVA,00006931720248190073,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE GUAPIMIRIM
