,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,IGUABA GRANDE,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE,Processo judicial de 1ª Instância,VAGNER DELGADO DE ALMEIDA,08009424420248190069,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE
1,IGUABA GRANDE,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE,Processo judicial de 1ª Instância,VAGNER DELGADO DE ALMEIDA,08003555620238190069,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE
2,IGUABA GRANDE,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE,Processo judicial de 1ª Instância,VAGNER DELGADO DE ALMEIDA,08020330920238190069,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE
3,IGUABA GRANDE,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE,Processo judicial de 1ª Instância,VAGNER DELGADO DE ALMEIDA,08010986620238190069,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE
4,IGUABA GRANDE,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE,Processo judicial de 1ª Instância,VAGNER DELGADO DE ALMEIDA,08017889520238190069,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE
5,IGUABA GRANDE,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE,Processo judicial de 1ª Instância,VAGNER DELGADO DE ALMEIDA,00005070620248190069,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE
6,IGUABA GRANDE,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE,Processo judicial de 1ª Instância,VAGNER DELGADO DE ALMEIDA,00005062120248190069,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE
7,IGUABA GRANDE,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE,Processo judicial de 1ª Instância,VAGNER DELGADO DE ALMEIDA,08003806920238190069,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE
8,IGUABA GRANDE,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE,Processo judicial de 1ª Instância,VAGNER DELGADO DE ALMEIDA,00832664220218190001,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE
9,IGUABA GRANDE,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE,Processo judicial de 1ª Instância,VAGNER DELGADO DE ALMEIDA,00014904420208190069,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE
10,IGUABA GRANDE,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE,Processo judicial de 1ª Instância,VAGNER DELGADO DE ALMEIDA,08003916420248190069,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE
11,IGUABA GRANDE,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE,Processo judicial de 1ª Instância,VAGNER DELGADO DE ALMEIDA,00007037820218190069,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE
12,IGUABA GRANDE,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE,Processo judicial de 1ª Instância,VAGNER DELGADO DE ALMEIDA,00009408820168190069,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE
13,IGUABA GRANDE,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE,Processo judicial de 1ª Instância,VAGNER DELGADO DE ALMEIDA,00003987020168190069,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE IGUABA GRANDE
