,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,ITABORAÍ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ,Processo judicial de 1ª Instância,RHAMILE SODRÉ DE OLIVEIRA TEIXEIRA DOS SANTOS,08003597120228190023,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ
1,ITABORAÍ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ,Processo judicial de 1ª Instância,RHAMILE SODRÉ DE OLIVEIRA TEIXEIRA DOS SANTOS,00071338220248190023,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ
2,ITABORAÍ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ,Processo judicial de 1ª Instância,RHAMILE SODRÉ DE OLIVEIRA TEIXEIRA DOS SANTOS,08100308420238190023,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ
3,ITABORAÍ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ,Processo judicial de 1ª Instância,RHAMILE SODRÉ DE OLIVEIRA TEIXEIRA DOS SANTOS,08050477020238190046,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ
4,ITABORAÍ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ,Processo judicial de 1ª Instância,RHAMILE SODRÉ DE OLIVEIRA TEIXEIRA DOS SANTOS,08129840620238190023,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ
5,ITABORAÍ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ,Processo judicial de 1ª Instância,RHAMILE SODRÉ DE OLIVEIRA TEIXEIRA DOS SANTOS,08070093720228190023,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ
6,ITABORAÍ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ,Processo judicial de 1ª Instância,RHAMILE SODRÉ DE OLIVEIRA TEIXEIRA DOS SANTOS,00098498220248190023,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ
7,ITABORAÍ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ,Processo judicial de 1ª Instância,RHAMILE SODRÉ DE OLIVEIRA TEIXEIRA DOS SANTOS,00021183520248190023,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ
8,ITABORAÍ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ,Processo judicial de 1ª Instância,RHAMILE SODRÉ DE OLIVEIRA TEIXEIRA DOS SANTOS,08055401920238190023,10/07/2023,10/07/2023,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ
9,ITABORAÍ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ,Notícia de Fato (Peça de Informação),RHAMILE SODRÉ DE OLIVEIRA TEIXEIRA DOS SANTOS,202400660956,11/07/2024,11/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE ITABORAÍ
