,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,ITAGUAÍ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ,Processo judicial de 1ª Instância,EDSON GOES DE AGUIAR JUNIOR,08027632420248190024,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ
1,ITAGUAÍ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ,Processo judicial de 1ª Instância,EDSON GOES DE AGUIAR JUNIOR,08020958720238190024,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ
2,ITAGUAÍ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ,Processo judicial de 1ª Instância,EDSON GOES DE AGUIAR JUNIOR,00095221320198190024,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ
3,ITAGUAÍ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ,Processo judicial de 1ª Instância,EDSON GOES DE AGUIAR JUNIOR,00023617820218190024,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ
4,ITAGUAÍ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ,Processo judicial de 1ª Instância,EDSON GOES DE AGUIAR JUNIOR,00050811820218190024,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ
5,ITAGUAÍ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ,Processo judicial de 1ª Instância,EDSON GOES DE AGUIAR JUNIOR,00016510520148190024,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ
6,ITAGUAÍ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ,Processo judicial de 1ª Instância,EDSON GOES DE AGUIAR JUNIOR,00016861820218190024,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ
7,ITAGUAÍ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ,Processo judicial de 1ª Instância,EDSON GOES DE AGUIAR JUNIOR,00128609720168190024,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ
8,ITAGUAÍ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ,Processo judicial de 1ª Instância,EDSON GOES DE AGUIAR JUNIOR,00054045720208190024,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ
9,ITAGUAÍ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ,Processo judicial de 1ª Instância,EDSON GOES DE AGUIAR JUNIOR,00078330220178190024,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE ITAGUAÍ
