,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Processo judicial de 1ª Instância,ANA LUÍZA LIMA FAZZA,08000697920248190025,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITAOCARA
1,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Processo judicial de 1ª Instância,ANA LUÍZA LIMA FAZZA,08026397220238190025,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITAOCARA
2,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Processo judicial de 1ª Instância,ANA LUÍZA LIMA FAZZA,08017831120238190025,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITAOCARA
3,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Processo judicial de 1ª Instância,ANA LUÍZA LIMA FAZZA,08018073920238190025,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITAOCARA
4,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Processo judicial de 1ª Instância,ANA LUÍZA LIMA FAZZA,08018654220238190025,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITAOCARA
5,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Processo judicial de 1ª Instância,ANA LUÍZA LIMA FAZZA,08001774520238190025,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITAOCARA
6,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Processo judicial de 1ª Instância,ANA LUÍZA LIMA FAZZA,08030172820238190025,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITAOCARA
7,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Processo judicial de 1ª Instância,ANA LUÍZA LIMA FAZZA,08000293420238190025,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITAOCARA
8,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Processo judicial de 1ª Instância,ANA LUÍZA LIMA FAZZA,08009612220238190025,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITAOCARA
9,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Processo judicial de 1ª Instância,ANA LUÍZA LIMA FAZZA,08010276520248190025,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITAOCARA
10,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Processo judicial de 1ª Instância,ANA LUÍZA LIMA FAZZA,08014176920238190025,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITAOCARA
11,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Processo judicial de 1ª Instância,ANA LUÍZA LIMA FAZZA,08001791520238190025,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITAOCARA
12,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Processo judicial de 1ª Instância,ANA LUÍZA LIMA FAZZA,08017329720238190025,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITAOCARA
13,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Inquérito policial,ANA LUÍZA LIMA FAZZA,135010772023,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE ITAOCARA
14,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Inquérito policial,ANA LUÍZA LIMA FAZZA,135009972023,08/07/2024,08/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE ITAOCARA
15,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Inquérito policial,ANA LUÍZA LIMA FAZZA,135000852024,01/07/2024,01/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE ITAOCARA
16,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Inquérito policial,ANA LUÍZA LIMA FAZZA,135005592024,01/07/2024,01/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE ITAOCARA
17,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Inquérito policial,ANA LUÍZA LIMA FAZZA,135001842024,01/07/2024,01/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE ITAOCARA
18,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Inquérito policial,ANA LUÍZA LIMA FAZZA,135005602024,27/06/2024,27/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE ITAOCARA
19,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Inquérito policial,ANA LUÍZA LIMA FAZZA,135005042024,27/06/2024,27/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE ITAOCARA
20,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Inquérito policial,ANA LUÍZA LIMA FAZZA,135005552024,27/06/2024,27/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE ITAOCARA
21,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Inquérito policial,ANA LUÍZA LIMA FAZZA,135005482024,27/06/2024,27/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE ITAOCARA
22,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Inquérito policial,ANA LUÍZA LIMA FAZZA,135005612023,26/06/2024,26/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE ITAOCARA
23,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Inquérito policial,ANA LUÍZA LIMA FAZZA,135009842022,13/04/2024,13/04/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE ITAOCARA
24,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Inquérito policial,ANA LUÍZA LIMA FAZZA,135000532024,11/04/2024,11/04/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE ITAOCARA
25,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Inquérito policial,MARCOS MARTINS DAVIDOVICH,135002402023,27/04/2023,27/04/2023,Inquérito policial,PROMOTORIA DE JUSTIÇA DE ITAOCARA
26,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Procedimento Administrativo,ANA LUÍZA LIMA FAZZA,202400596495,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE ITAOCARA
27,ITAOCARA,PROMOTORIA DE JUSTIÇA DE ITAOCARA,Notícia de Fato (Peça de Informação),ANA LUÍZA LIMA FAZZA,202400656027,09/07/2024,09/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE ITAOCARA
