,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,08019161620248190026,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
1,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,08074446520238190026,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
2,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00084934820218190026,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
3,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,08034361120248190026,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
4,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00212025420218190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
5,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00158253920208190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
6,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00125528620198190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
7,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00017428120218190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
8,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,08064746520238190026,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
9,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,08031442620248190026,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
10,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,08084760820238190026,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
11,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,08082786820238190026,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
12,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,08040423920248190026,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
13,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,08007288520248190026,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
14,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00127093320138190026,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
15,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,08036650520238190026,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
16,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,08030308720248190026,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
17,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,08034482520248190026,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
18,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00007509420158190026,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
19,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00093840820218190014,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
20,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00000088820238190026,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
21,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00190425920178190026,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
22,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00147565320088190026,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
23,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00124093420188190014,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
24,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00054894720148190026,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
25,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00017558020218190014,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
26,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00093840820218190014,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
27,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00136538820208190026,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
28,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00119774420208190014,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
29,ITAPERUNA,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA,Processo judicial de 1ª Instância,THATIANE RABELO GONÇALVES,00012526720148190026,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE ITAPERUNA
