,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,ITATIAIA,PROMOTORIA DE JUSTIÇA DE ITATIAIA,Processo judicial de 1ª Instância,DANIELLA D`ARCO GARBOSSA MAZZA,00008956720248190081,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITATIAIA
1,ITATIAIA,PROMOTORIA DE JUSTIÇA DE ITATIAIA,Processo judicial de 1ª Instância,DANIELLA D`ARCO GARBOSSA MAZZA,08006701420248190081,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITATIAIA
2,ITATIAIA,PROMOTORIA DE JUSTIÇA DE ITATIAIA,Processo judicial de 1ª Instância,DANIELLA D`ARCO GARBOSSA MAZZA,00021482720238190081,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITATIAIA
3,ITATIAIA,PROMOTORIA DE JUSTIÇA DE ITATIAIA,Processo judicial de 1ª Instância,DANIELLA D`ARCO GARBOSSA MAZZA,00018218220238190081,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITATIAIA
4,ITATIAIA,PROMOTORIA DE JUSTIÇA DE ITATIAIA,Processo judicial de 1ª Instância,DANIELLA D`ARCO GARBOSSA MAZZA,00011402520178190081,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITATIAIA
5,ITATIAIA,PROMOTORIA DE JUSTIÇA DE ITATIAIA,Processo judicial de 1ª Instância,DANIELLA D`ARCO GARBOSSA MAZZA,00008428620248190081,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITATIAIA
6,ITATIAIA,PROMOTORIA DE JUSTIÇA DE ITATIAIA,Processo judicial de 1ª Instância,DANIELLA D`ARCO GARBOSSA MAZZA,08016863720238190081,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITATIAIA
7,ITATIAIA,PROMOTORIA DE JUSTIÇA DE ITATIAIA,Processo judicial de 1ª Instância,DANIELLA D`ARCO GARBOSSA MAZZA,00050448820238190066,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITATIAIA
8,ITATIAIA,PROMOTORIA DE JUSTIÇA DE ITATIAIA,Processo judicial de 1ª Instância,DANIELLA D`ARCO GARBOSSA MAZZA,08004440920248190081,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITATIAIA
9,ITATIAIA,PROMOTORIA DE JUSTIÇA DE ITATIAIA,Processo judicial de 1ª Instância,DANIELLA D`ARCO GARBOSSA MAZZA,00001246520198190081,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE ITATIAIA
