,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Processo judicial de 1ª Instância,CARLOS EDUARDO DE ALMEIDA RABELO,08015110320248190083,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
1,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Processo judicial de 1ª Instância,CARLOS EDUARDO DE ALMEIDA RABELO,08027235920248190083,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
2,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Processo judicial de 1ª Instância,CARLOS EDUARDO DE ALMEIDA RABELO,08020648420238190083,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
3,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063012172020,12/07/2024,12/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
4,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063015332021,12/07/2024,12/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
5,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063015612021,12/07/2024,12/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
6,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063015692021,12/07/2024,12/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
7,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063015232021,12/07/2024,12/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
8,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,051012032021,06/07/2024,06/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
9,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063008972023,06/07/2024,06/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
10,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,861007472020,06/07/2024,06/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
11,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,861008932020,06/07/2024,06/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
12,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,058000092021,06/07/2024,06/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
13,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063000252021,06/07/2024,06/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
14,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063001352021,06/07/2024,06/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
15,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063010352022,06/07/2024,06/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
16,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063014272022,06/07/2024,06/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
17,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063013372022,06/07/2024,06/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
18,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063014532022,06/07/2024,06/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
19,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063023152021,06/07/2024,06/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
20,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063001812022,04/07/2024,04/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
21,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063010672020,03/07/2024,03/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
22,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063005012023,03/07/2024,03/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
23,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063016252020,03/07/2024,03/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
24,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063003032021,03/07/2024,03/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
25,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063013572020,03/07/2024,03/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
26,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063013512020,03/07/2024,03/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
27,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063023292021,03/07/2024,03/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
28,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,930000852022,03/07/2024,03/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
29,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063012832021,03/07/2024,03/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
30,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063005012023,03/07/2024,03/07/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
31,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,861012272021,20/05/2024,20/05/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
32,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,861003232023,20/05/2024,20/05/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
33,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,861003472023,20/05/2024,20/05/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
34,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,200005572023,20/05/2024,20/05/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
35,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Inquérito policial,CARLOS EDUARDO DE ALMEIDA RABELO,063028352023,16/05/2024,16/05/2024,Inquérito policial,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
36,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Notícia de Fato (Peça de Informação),CARLOS EDUARDO DE ALMEIDA RABELO,202400671063,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),1ª PROMOTORIA DE JUSTIÇA DE JAPERI
37,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Procedimento Administrativo,CARLOS EDUARDO DE ALMEIDA RABELO,202400116898,12/07/2024,12/07/2024,Procedimento Administrativo,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
38,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Notícia de Fato (Peça de Informação),CARLOS EDUARDO DE ALMEIDA RABELO,202400671091,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),1ª PROMOTORIA DE JUSTIÇA DE JAPERI
39,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Procedimento Administrativo,CARLOS EDUARDO DE ALMEIDA RABELO,202000631938,12/07/2024,12/07/2024,Procedimento Administrativo,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
40,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Notícia de Fato (Peça de Informação),CARLOS EDUARDO DE ALMEIDA RABELO,202400670758,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),1ª PROMOTORIA DE JUSTIÇA DE JAPERI
41,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Procedimento Administrativo,CARLOS EDUARDO DE ALMEIDA RABELO,202400378750,12/07/2024,12/07/2024,Procedimento Administrativo,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
42,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Procedimento Administrativo,CARLOS EDUARDO DE ALMEIDA RABELO,202400351316,12/07/2024,12/07/2024,Procedimento Administrativo,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
43,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Averiguação oficiosa de paternidade,CARLOS EDUARDO DE ALMEIDA RABELO,16622,11/07/2024,11/07/2024,Averiguação oficiosa de paternidade,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
44,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Averiguação oficiosa de paternidade,CARLOS EDUARDO DE ALMEIDA RABELO,16152,11/07/2024,11/07/2024,Averiguação oficiosa de paternidade,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
45,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Procedimento Administrativo,CARLOS EDUARDO DE ALMEIDA RABELO,202400015252,11/07/2024,11/07/2024,Procedimento Administrativo,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
46,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Procedimento Administrativo,CARLOS EDUARDO DE ALMEIDA RABELO,202300419934,09/07/2024,09/07/2024,Procedimento Administrativo,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
47,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Notícia de Fato (Peça de Informação),CARLOS EDUARDO DE ALMEIDA RABELO,202400545879,09/07/2024,09/07/2024,Notícia de Fato (Peça de Informação),1ª PROMOTORIA DE JUSTIÇA DE JAPERI
48,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Procedimento Administrativo,CARLOS EDUARDO DE ALMEIDA RABELO,202301002084,09/07/2024,09/07/2024,Procedimento Administrativo,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
49,JAPERI,1ª PROMOTORIA DE JUSTIÇA DE JAPERI,Procedimento Administrativo,CARLOS EDUARDO DE ALMEIDA RABELO,202101011627,09/07/2024,09/07/2024,Procedimento Administrativo,1ª PROMOTORIA DE JUSTIÇA DE JAPERI
