,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,08014297720238190027,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
1,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,08008820320248190027,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
2,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,08004626620228190027,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
3,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,08001286120248190027,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
4,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,08007894020248190027,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
5,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,08005169520238190027,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
6,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,00001046620248190027,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
7,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,00259249720228190014,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
8,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,08008855520248190027,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
9,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,00000552520248190027,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
10,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,00000284220248190027,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
11,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,00000019320238190027,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
12,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,00004017820218190027,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
13,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,00001018220228190027,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
14,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,08008587220248190027,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
15,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,00000353420248190027,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
16,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,00008458720168190027,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
17,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,PROCESSOS JUDICIAIS,FERNANDA DE CARLI DA SILVA TOME,00000565420178190027,02/07/2024,02/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
18,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,INQUÉRITOS POLICIAIS,FERNANDA DE CARLI DA SILVA TOME,138001592024,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
19,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,INQUÉRITOS POLICIAIS,FERNANDA DE CARLI DA SILVA TOME,138001202024,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
20,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,INQUÉRITOS POLICIAIS,FERNANDA DE CARLI DA SILVA TOME,138001572024,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
21,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,INQUÉRITOS POLICIAIS,FERNANDA DE CARLI DA SILVA TOME,138000222022,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
22,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,INQUÉRITOS POLICIAIS,FERNANDA DE CARLI DA SILVA TOME,137002782023,10/07/2024,10/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
23,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,INQUÉRITOS POLICIAIS,FERNANDA DE CARLI DA SILVA TOME,138001592021,08/07/2024,08/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
24,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,INQUÉRITOS POLICIAIS,FERNANDA DE CARLI DA SILVA TOME,138000722021,08/07/2024,08/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
25,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,INQUÉRITOS POLICIAIS,FERNANDA DE CARLI DA SILVA TOME,137007152024,07/07/2024,07/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
26,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,INQUÉRITOS POLICIAIS,FERNANDA DE CARLI DA SILVA TOME,138000972024,04/07/2024,04/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
27,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,INQUÉRITOS POLICIAIS,FERNANDA DE CARLI DA SILVA TOME,138001402023,03/07/2024,03/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
28,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,INQUÉRITOS POLICIAIS,FERNANDA DE CARLI DA SILVA TOME,138000722023,03/07/2024,03/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
29,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,INQUÉRITOS POLICIAIS,FERNANDA DE CARLI DA SILVA TOME,137002032024,03/07/2024,03/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
30,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,INQUÉRITOS POLICIAIS,FERNANDA DE CARLI DA SILVA TOME,138000752024,25/06/2024,25/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
31,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202400416121,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
32,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202400594740,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
33,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202301081794,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
34,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202400191035,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
35,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202300959786,11/07/2024,11/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
36,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202400333397,11/07/2024,11/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
37,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202400649211,11/07/2024,11/07/2024,Inquérito Civil,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
38,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202400649123,11/07/2024,11/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
39,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202000046522,10/07/2024,10/07/2024,Inquérito Civil,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
40,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202400446660,10/07/2024,10/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
41,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202300630953,09/07/2024,09/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
42,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202400008028,09/07/2024,09/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
43,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202400130705,08/07/2024,08/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
44,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202300965676,08/07/2024,08/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
45,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202400333398,05/07/2024,05/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
46,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202400416138,05/07/2024,05/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
47,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202100180163,04/07/2024,04/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
48,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202301107107,03/07/2024,03/07/2024,Inquérito Civil,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
49,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202400008030,01/07/2024,01/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
50,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202301198670,01/07/2024,01/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
51,LAJE DO MURIAÉ,PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ,OUTROS,FERNANDA DE CARLI DA SILVA TOME,202400594738,27/06/2024,27/06/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE LAJE DO MURIAÉ
