,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,BRUNO DE SÁ BARCELOS CAVACO,08038844620228190028,13/10/2022,13/10/2022,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
1,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,BRUNO DE SÁ BARCELOS CAVACO,08037727720228190028,13/10/2022,13/10/2022,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
2,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,08073472520248190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
3,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,08008430620248190027,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
4,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,08040366020238190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
5,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,08064708520248190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
6,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,08092685320238190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
7,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,08074165720248190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
8,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,08069428620248190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
9,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,08116172920238190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
10,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,08075378520248190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
11,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,08129926520238190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
12,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,08063902420248190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
13,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,00021142720178190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
14,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,08073065820248190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
15,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,08050980420248190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
16,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,00007465120158190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
17,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,00066969420228190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
18,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,00054202820228190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
19,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,00114285520218190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
20,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,00171662920188190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
21,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,00002288020238190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
22,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,00021142720178190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
23,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,08073065820248190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
24,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,08050980420248190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
25,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,00007465120158190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
26,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,00066969420228190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
27,MACAÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ,PROCESSOS JUDICIAIS,MARCELO WINTER GOMES,00054202820228190028,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MACAÉ
