,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,PROCESSOS JUDICIAIS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,08027760820248190029,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
1,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,PROCESSOS JUDICIAIS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,08027787520248190029,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
2,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,PROCESSOS JUDICIAIS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,08016199720248190029,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
3,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,PROCESSOS JUDICIAIS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,08024946720248190029,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
4,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,PROCESSOS JUDICIAIS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,08024366420248190029,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
5,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,PROCESSOS JUDICIAIS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,08035763620248190029,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
6,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,PROCESSOS JUDICIAIS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,08046924820228190029,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
7,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,PROCESSOS JUDICIAIS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,00047799120098190029,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
8,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,OUTROS,ELKE SCHLESINGER ROYO VISCONTI DE ARAÚJO,160682024,03/07/2024,03/07/2024,Retificação de assentamento de casamento,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
9,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,OUTROS,ELKE SCHLESINGER ROYO VISCONTI DE ARAÚJO,160502024,03/07/2024,03/07/2024,Retificação de assentamento de casamento,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
10,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,OUTROS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,202400636413,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
11,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,OUTROS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,202400185301,11/07/2024,11/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
12,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,OUTROS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,202400657885,11/07/2024,11/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
13,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,OUTROS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,202200974970,11/07/2024,11/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
14,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,OUTROS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,202400158912,11/07/2024,11/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
15,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,OUTROS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,161112024,11/07/2024,11/07/2024,Retificação de assentamento de nascimento,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
16,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,OUTROS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,161412024,11/07/2024,11/07/2024,Retificação de assentamento de nascimento,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
17,MAGÉ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ,OUTROS,LUIZ FERNANDO LEMOS DUARTE DE AMOEDO,160612024,03/07/2024,03/07/2024,Retificação de assentamento de nascimento,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MAGÉ
18,MAGÉ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ,PROCESSOS JUDICIAIS,PATRÍCIA CESÁRIO DE FARIA ALVIM,00030319620248190029,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ
19,MAGÉ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ,PROCESSOS JUDICIAIS,PATRÍCIA CESÁRIO DE FARIA ALVIM,08002974220248190029,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ
20,MAGÉ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ,PROCESSOS JUDICIAIS,PATRÍCIA CESÁRIO DE FARIA ALVIM,08047378120248190029,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ
21,MAGÉ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ,PROCESSOS JUDICIAIS,PATRÍCIA CESÁRIO DE FARIA ALVIM,00356920720148190021,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ
22,MAGÉ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ,PROCESSOS JUDICIAIS,PATRÍCIA CESÁRIO DE FARIA ALVIM,08021591920228190029,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ
23,MAGÉ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ,PROCESSOS JUDICIAIS,PATRÍCIA CESÁRIO DE FARIA ALVIM,08043558820248190029,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ
24,MAGÉ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ,PROCESSOS JUDICIAIS,PATRÍCIA CESÁRIO DE FARIA ALVIM,08046376320238190029,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ
25,MAGÉ,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ,PROCESSOS JUDICIAIS,PATRÍCIA CESÁRIO DE FARIA ALVIM,00035850720198190029,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA INFÂNCIA E DA JUVENTUDE DE MAGÉ
