,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,MANGARATIBA,PROMOTORIA DE JUSTIÇA DE MANGARATIBA,PROCESSOS JUDICIAIS,DÉBORA DE SOUZA BECKER LIMA,08006712620228190030,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MANGARATIBA
1,MANGARATIBA,PROMOTORIA DE JUSTIÇA DE MANGARATIBA,PROCESSOS JUDICIAIS,DÉBORA DE SOUZA BECKER LIMA,08013205420238190030,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MANGARATIBA
2,MANGARATIBA,PROMOTORIA DE JUSTIÇA DE MANGARATIBA,PROCESSOS JUDICIAIS,DÉBORA DE SOUZA BECKER LIMA,08001683420248190030,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MANGARATIBA
3,MANGARATIBA,PROMOTORIA DE JUSTIÇA DE MANGARATIBA,PROCESSOS JUDICIAIS,DÉBORA DE SOUZA BECKER LIMA,08018453620238190030,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MANGARATIBA
4,MANGARATIBA,PROMOTORIA DE JUSTIÇA DE MANGARATIBA,PROCESSOS JUDICIAIS,DÉBORA DE SOUZA BECKER LIMA,08022342120238190030,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MANGARATIBA
5,MANGARATIBA,PROMOTORIA DE JUSTIÇA DE MANGARATIBA,PROCESSOS JUDICIAIS,DÉBORA DE SOUZA BECKER LIMA,08000323720248190030,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MANGARATIBA
6,MANGARATIBA,PROMOTORIA DE JUSTIÇA DE MANGARATIBA,PROCESSOS JUDICIAIS,DÉBORA DE SOUZA BECKER LIMA,08007304820218190030,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MANGARATIBA
7,MANGARATIBA,PROMOTORIA DE JUSTIÇA DE MANGARATIBA,PROCESSOS JUDICIAIS,DÉBORA DE SOUZA BECKER LIMA,00038633920188190030,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MANGARATIBA
8,MANGARATIBA,PROMOTORIA DE JUSTIÇA DE MANGARATIBA,PROCESSOS JUDICIAIS,DÉBORA DE SOUZA BECKER LIMA,08001825220238190030,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MANGARATIBA
9,MANGARATIBA,PROMOTORIA DE JUSTIÇA DE MANGARATIBA,PROCESSOS JUDICIAIS,DÉBORA DE SOUZA BECKER LIMA,08009859820248190030,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MANGARATIBA
