,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,MARICÁ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ,PROCESSOS JUDICIAIS,LEONARDO CUÑA DE SOUZA,08052608720248190031,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ
1,MARICÁ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ,PROCESSOS JUDICIAIS,LEONARDO CUÑA DE SOUZA,08133139120238190031,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ
2,MARICÁ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ,PROCESSOS JUDICIAIS,LEONARDO CUÑA DE SOUZA,00003230920208190031,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ
3,MARICÁ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ,PROCESSOS JUDICIAIS,LEONARDO CUÑA DE SOUZA,08000031820238190031,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ
4,MARICÁ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ,PROCESSOS JUDICIAIS,LEONARDO CUÑA DE SOUZA,08080420420238190031,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ
5,MARICÁ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ,PROCESSOS JUDICIAIS,LEONARDO CUÑA DE SOUZA,08058621520238190031,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ
6,MARICÁ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ,PROCESSOS JUDICIAIS,LEONARDO CUÑA DE SOUZA,00108499820218190031,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ
7,MARICÁ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ,PROCESSOS JUDICIAIS,LEONARDO CUÑA DE SOUZA,08165711220238190031,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ
8,MARICÁ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ,PROCESSOS JUDICIAIS,LEONARDO CUÑA DE SOUZA,00064794220228190031,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ
9,MARICÁ,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ,PROCESSOS JUDICIAIS,LEONARDO CUÑA DE SOUZA,00066665020228190031,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE MARICÁ
