,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,PROCESSOS JUDICIAIS,ANTONIO CARLOS FONTE PESSANHA,00001357120248190032,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MENDES
1,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,PROCESSOS JUDICIAIS,ANTONIO CARLOS FONTE PESSANHA,08009429220238190032,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MENDES
2,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,PROCESSOS JUDICIAIS,ANTONIO CARLOS FONTE PESSANHA,00002702020238190032,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MENDES
3,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,PROCESSOS JUDICIAIS,ANTONIO CARLOS FONTE PESSANHA,00003100220238190032,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MENDES
4,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,PROCESSOS JUDICIAIS,ANTONIO CARLOS FONTE PESSANHA,00002291920248190032,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MENDES
5,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,PROCESSOS JUDICIAIS,ANTONIO CARLOS FONTE PESSANHA,00004382720208190032,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MENDES
6,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,PROCESSOS JUDICIAIS,ANTONIO CARLOS FONTE PESSANHA,00005395920238190032,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MENDES
7,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,PROCESSOS JUDICIAIS,ANTONIO CARLOS FONTE PESSANHA,08008857420238190032,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MENDES
8,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,PROCESSOS JUDICIAIS,ANTONIO CARLOS FONTE PESSANHA,00001962920248190032,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MENDES
9,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,PROCESSOS JUDICIAIS,ANTONIO CARLOS FONTE PESSANHA,00000075120248190032,05/07/2024,05/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MENDES
10,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,PROCESSOS JUDICIAIS,ANTONIO CARLOS FONTE PESSANHA,00008667220218190032,25/06/2024,25/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MENDES
11,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097008792023,10/07/2024,10/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
12,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,030009122023,10/07/2024,10/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
13,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097015942020,04/07/2024,04/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
14,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097002872016,04/07/2024,04/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
15,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097001662019,04/07/2024,04/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
16,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097006182018,04/07/2024,04/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
17,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097008952023,02/07/2024,02/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
18,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097000832023,02/07/2024,02/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
19,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097004372024,26/06/2024,26/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
20,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097005252023,26/06/2024,26/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
21,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097008032023,21/06/2024,21/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
22,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097007902022,21/06/2024,21/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
23,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097005222023,19/06/2024,19/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
24,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097007512023,19/06/2024,19/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
25,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097004302024,19/06/2024,19/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
26,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097002692024,19/06/2024,19/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
27,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097006872021,18/06/2024,18/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
28,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097004982023,18/06/2024,18/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
29,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097007182021,13/06/2024,13/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
30,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097001932022,11/06/2024,11/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
31,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,INQUÉRITOS POLICIAIS,ANTONIO CARLOS FONTE PESSANHA,097002742024,10/06/2024,10/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MENDES
32,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202400336701,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE MENDES
33,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,201200353548,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE MENDES
34,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202400130068,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE MENDES
35,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202400194767,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE MENDES
36,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202400648624,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE MENDES
37,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202400285758,10/07/2024,10/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE MENDES
38,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202400462049,10/07/2024,10/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE MENDES
39,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202400205311,10/07/2024,10/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE MENDES
40,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202100749719,08/07/2024,08/07/2024,Procedimento Investigatório Criminal,PROMOTORIA DE JUSTIÇA DE MENDES
41,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202400325783,08/07/2024,08/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE MENDES
42,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202400634264,08/07/2024,08/07/2024,Expediente ouvidoria,PROMOTORIA DE JUSTIÇA DE MENDES
43,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202400087553,08/07/2024,08/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE MENDES
44,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202400648857,08/07/2024,08/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE MENDES
45,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202000050989,08/07/2024,08/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE MENDES
46,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202400423692,04/07/2024,04/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE MENDES
47,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202201131594,02/07/2024,02/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE MENDES
48,MENDES,PROMOTORIA DE JUSTIÇA DE MENDES,OUTROS,ANTONIO CARLOS FONTE PESSANHA,202400044052,28/06/2024,28/06/2024,Procedimento Investigatório Criminal,PROMOTORIA DE JUSTIÇA DE MENDES
