,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,MIGUEL PEREIRA,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA,INQUÉRITOS POLICIAIS,CHARLES AMITAY WEKSLER,096011822012,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA
1,MIGUEL PEREIRA,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA,INQUÉRITOS POLICIAIS,CHARLES AMITAY WEKSLER,096008332018,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA
2,MIGUEL PEREIRA,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA,INQUÉRITOS POLICIAIS,CHARLES AMITAY WEKSLER,096016432018,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA
3,MIGUEL PEREIRA,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA,INQUÉRITOS POLICIAIS,CHARLES AMITAY WEKSLER,096006762014,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA
4,MIGUEL PEREIRA,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA,INQUÉRITOS POLICIAIS,CHARLES AMITAY WEKSLER,096001602020,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA
5,MIGUEL PEREIRA,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA,INQUÉRITOS POLICIAIS,CHARLES AMITAY WEKSLER,096009062014,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA
6,MIGUEL PEREIRA,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA,INQUÉRITOS POLICIAIS,CHARLES AMITAY WEKSLER,096009932018,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA
7,MIGUEL PEREIRA,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA,INQUÉRITOS POLICIAIS,CHARLES AMITAY WEKSLER,096007102016,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA
8,MIGUEL PEREIRA,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA,INQUÉRITOS POLICIAIS,CHARLES AMITAY WEKSLER,096016632018,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA
9,MIGUEL PEREIRA,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA,INQUÉRITOS POLICIAIS,CHARLES AMITAY WEKSLER,096003612018,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA
10,MIGUEL PEREIRA,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA,INQUÉRITOS POLICIAIS,CHARLES AMITAY WEKSLER,096016222018,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA
11,MIGUEL PEREIRA,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA,INQUÉRITOS POLICIAIS,CHARLES AMITAY WEKSLER,096005502018,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA
12,MIGUEL PEREIRA,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA,INQUÉRITOS POLICIAIS,CHARLES AMITAY WEKSLER,096009512016,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA
13,MIGUEL PEREIRA,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA,INQUÉRITOS POLICIAIS,CHARLES AMITAY WEKSLER,096017212018,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE MIGUEL PEREIRA
