,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,MIRACEMA,PROMOTORIA DE JUSTIÇA DE MIRACEMA,PROCESSOS JUDICIAIS,DRIELE DE OLIVEIRA MASCHIO,00031473920148190034,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MIRACEMA
1,MIRACEMA,PROMOTORIA DE JUSTIÇA DE MIRACEMA,PROCESSOS JUDICIAIS,DRIELE DE OLIVEIRA MASCHIO,00004892720238190034,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MIRACEMA
2,MIRACEMA,PROMOTORIA DE JUSTIÇA DE MIRACEMA,PROCESSOS JUDICIAIS,DRIELE DE OLIVEIRA MASCHIO,00027191320218190034,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MIRACEMA
3,MIRACEMA,PROMOTORIA DE JUSTIÇA DE MIRACEMA,PROCESSOS JUDICIAIS,DRIELE DE OLIVEIRA MASCHIO,00021617520208190034,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MIRACEMA
4,MIRACEMA,PROMOTORIA DE JUSTIÇA DE MIRACEMA,PROCESSOS JUDICIAIS,DRIELE DE OLIVEIRA MASCHIO,00010854520228190034,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MIRACEMA
5,MIRACEMA,PROMOTORIA DE JUSTIÇA DE MIRACEMA,PROCESSOS JUDICIAIS,DRIELE DE OLIVEIRA MASCHIO,08021665920238190034,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MIRACEMA
6,MIRACEMA,PROMOTORIA DE JUSTIÇA DE MIRACEMA,PROCESSOS JUDICIAIS,DRIELE DE OLIVEIRA MASCHIO,00789290520248190001,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MIRACEMA
7,MIRACEMA,PROMOTORIA DE JUSTIÇA DE MIRACEMA,PROCESSOS JUDICIAIS,DRIELE DE OLIVEIRA MASCHIO,00077125720248190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MIRACEMA
8,MIRACEMA,PROMOTORIA DE JUSTIÇA DE MIRACEMA,PROCESSOS JUDICIAIS,DRIELE DE OLIVEIRA MASCHIO,00009540220248190034,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MIRACEMA
9,MIRACEMA,PROMOTORIA DE JUSTIÇA DE MIRACEMA,PROCESSOS JUDICIAIS,DRIELE DE OLIVEIRA MASCHIO,00006255820228190034,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MIRACEMA
10,MIRACEMA,PROMOTORIA DE JUSTIÇA DE MIRACEMA,PROCESSOS JUDICIAIS,DRIELE DE OLIVEIRA MASCHIO,00000488020228190034,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MIRACEMA
11,MIRACEMA,PROMOTORIA DE JUSTIÇA DE MIRACEMA,PROCESSOS JUDICIAIS,DRIELE DE OLIVEIRA MASCHIO,00000473720188190034,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MIRACEMA
12,MIRACEMA,PROMOTORIA DE JUSTIÇA DE MIRACEMA,PROCESSOS JUDICIAIS,DRIELE DE OLIVEIRA MASCHIO,08005570720248190034,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MIRACEMA
13,MIRACEMA,PROMOTORIA DE JUSTIÇA DE MIRACEMA,PROCESSOS JUDICIAIS,DRIELE DE OLIVEIRA MASCHIO,08014924720248190034,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MIRACEMA
14,MIRACEMA,PROMOTORIA DE JUSTIÇA DE MIRACEMA,PROCESSOS JUDICIAIS,DRIELE DE OLIVEIRA MASCHIO,08007782420238190034,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE MIRACEMA
