,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,NATIVIDADE,PROMOTORIA DE JUSTIÇA DE NATIVIDADE,PROCESSOS JUDICIAIS,ANDERSON TORRES BASTOS,08004635620248190035,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE NATIVIDADE
1,NATIVIDADE,PROMOTORIA DE JUSTIÇA DE NATIVIDADE,PROCESSOS JUDICIAIS,ANDERSON TORRES BASTOS,08005735520248190035,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE NATIVIDADE
2,NATIVIDADE,PROMOTORIA DE JUSTIÇA DE NATIVIDADE,PROCESSOS JUDICIAIS,ANDERSON TORRES BASTOS,08003746720238190035,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE NATIVIDADE
3,NATIVIDADE,PROMOTORIA DE JUSTIÇA DE NATIVIDADE,PROCESSOS JUDICIAIS,ANDERSON TORRES BASTOS,00003545620168190035,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE NATIVIDADE
4,NATIVIDADE,PROMOTORIA DE JUSTIÇA DE NATIVIDADE,PROCESSOS JUDICIAIS,ANDERSON TORRES BASTOS,08005698620228190035,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE NATIVIDADE
5,NATIVIDADE,PROMOTORIA DE JUSTIÇA DE NATIVIDADE,PROCESSOS JUDICIAIS,ANDERSON TORRES BASTOS,00015323020228190035,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE NATIVIDADE
6,NATIVIDADE,PROMOTORIA DE JUSTIÇA DE NATIVIDADE,PROCESSOS JUDICIAIS,ANDERSON TORRES BASTOS,08000212720238190035,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE NATIVIDADE
7,NATIVIDADE,PROMOTORIA DE JUSTIÇA DE NATIVIDADE,PROCESSOS JUDICIAIS,ANDERSON TORRES BASTOS,00013375020198190035,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE NATIVIDADE
8,NATIVIDADE,PROMOTORIA DE JUSTIÇA DE NATIVIDADE,PROCESSOS JUDICIAIS,ANDERSON TORRES BASTOS,00008906720168190035,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE NATIVIDADE
9,NATIVIDADE,PROMOTORIA DE JUSTIÇA DE NATIVIDADE,PROCESSOS JUDICIAIS,ANDERSON TORRES BASTOS,08000391420248190035,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE NATIVIDADE
10,NATIVIDADE,PROMOTORIA DE JUSTIÇA DE NATIVIDADE,PROCESSOS JUDICIAIS,ANDERSON TORRES BASTOS,00012139620218190035,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE NATIVIDADE
11,NATIVIDADE,PROMOTORIA DE JUSTIÇA DE NATIVIDADE,PROCESSOS JUDICIAIS,ANDERSON TORRES BASTOS,08013784220238190035,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE NATIVIDADE
12,NATIVIDADE,PROMOTORIA DE JUSTIÇA DE NATIVIDADE,PROCESSOS JUDICIAIS,ANDERSON TORRES BASTOS,08004742220238190035,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE NATIVIDADE
13,NATIVIDADE,PROMOTORIA DE JUSTIÇA DE NATIVIDADE,PROCESSOS JUDICIAIS,ANDERSON TORRES BASTOS,08000541720238190035,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE NATIVIDADE
14,NATIVIDADE,PROMOTORIA DE JUSTIÇA DE NATIVIDADE,PROCESSOS JUDICIAIS,ANDERSON TORRES BASTOS,00000689720248190035,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE NATIVIDADE
