,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,00069667020178190036,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
1,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,00011226620228190036,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
2,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,00194327220128190036,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
3,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,08040857720238190036,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
4,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,08052994020228190036,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
5,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,08067933720228190036,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
6,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,00058621420158190036,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
7,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,08056761120228190036,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
8,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,00278782020198190036,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
9,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,00175587620178190036,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
10,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,00094427620208190036,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
11,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,00050320420228190036,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
12,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,00056380320208190036,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
13,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,00023100220198190036,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
14,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,01107627520238190001,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
15,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,00100541920178190036,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
16,NILÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS,PROCESSOS JUDICIAIS,FRANCISCO LOPES DA FONSECA,08053329320238190036,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE NILÓPOLIS
