,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,08411069220238190002,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
1,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,00040276019968190002,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
2,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,00203121620058190002,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
3,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,00528052120208190002,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
4,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,00504684020128190002,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
5,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,00161655320198190002,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
6,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,00649530620168190002,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
7,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,08358827620238190002,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
8,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,00563975420128190002,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
9,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,00589583420248190001,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
10,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,01176120220108190002,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
11,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,08242880220228190002,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
12,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,00564883220218190002,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
13,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,00168820520188190001,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
14,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,08110885420248190002,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
15,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,00367059320178190002,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
16,NITERÓI,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI,PROCESSOS JUDICIAIS,ADRIANA MIRANDA PALMA SCHENKEL,08164815720248190002,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NITERÓI
