,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,00028089520198190037,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
1,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,00041536220208190037,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
2,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,00037912620218190037,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
3,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,00032907220218190037,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
4,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,00008974320228190037,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
5,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,08031636720228190037,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
6,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,00046342520208190037,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
7,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,08038671220248190037,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
8,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,08011811820228190037,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
9,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,08097498620238190037,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
10,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,08113260220238190037,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
11,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,00012693120188190037,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
12,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,08081822020238190037,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
13,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,00143951720198190037,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
14,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,08049263520248190037,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
15,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,00145292020148190037,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
16,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,08043472420238190037,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
17,NOVA FRIBURGO,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO,PROCESSOS JUDICIAIS,HÉDEL LUIS NARA RAMOS JÚNIOR,08006445120248190037,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE NOVA FRIBURGO
