,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,NOVA IGUAÇU,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU,PROCESSOS JUDICIAIS,DANIELA CARAVANA CUNHA VAIMBERG,00155221720248190036,05/07/2024,05/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU
1,NOVA IGUAÇU,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU,PROCESSOS JUDICIAIS,DANIELA CARAVANA CUNHA VAIMBERG,00156348320248190036,28/06/2024,28/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU
2,NOVA IGUAÇU,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU,PROCESSOS JUDICIAIS,DANIELA CARAVANA CUNHA VAIMBERG,00004136020248190036,28/06/2024,28/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU
3,NOVA IGUAÇU,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU,PROCESSOS JUDICIAIS,DANIELA CARAVANA CUNHA VAIMBERG,00156608120248190036,28/06/2024,28/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU
4,NOVA IGUAÇU,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU,PROCESSOS JUDICIAIS,DANIELA CARAVANA CUNHA VAIMBERG,00156382320248190036,28/06/2024,28/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU
5,NOVA IGUAÇU,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU,PROCESSOS JUDICIAIS,DANIELA CARAVANA CUNHA VAIMBERG,00156373820248190036,28/06/2024,28/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU
6,NOVA IGUAÇU,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU,PROCESSOS JUDICIAIS,DANIELA CARAVANA CUNHA VAIMBERG,00029719620248190038,27/06/2024,27/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU
7,NOVA IGUAÇU,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU,PROCESSOS JUDICIAIS,DANIELA CARAVANA CUNHA VAIMBERG,00293448120248190001,26/06/2024,26/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU
8,NOVA IGUAÇU,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU,PROCESSOS JUDICIAIS,DANIELA CARAVANA CUNHA VAIMBERG,00079500420248190038,26/06/2024,26/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU
9,NOVA IGUAÇU,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU,PROCESSOS JUDICIAIS,DANIELA CARAVANA CUNHA VAIMBERG,00156478220248190036,26/06/2024,26/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU
10,NOVA IGUAÇU,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU,PROCESSOS JUDICIAIS,DANIELA CARAVANA CUNHA VAIMBERG,00155680620248190036,25/06/2024,25/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU
11,NOVA IGUAÇU,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU,PROCESSOS JUDICIAIS,DANIELA CARAVANA CUNHA VAIMBERG,00040440620248190038,25/06/2024,25/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE INVESTIGAÇÃO PENAL DE VIOLÊNCIA DOMÉSTICA DO NÚCLEO NOVA IGUAÇU
