,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,PARATY,PROMOTORIA DE JUSTIÇA DE PARATY,PROCESSOS JUDICIAIS,FERNANDA CAROLINE PELISSER,08001646120248190041,13/07/2024,13/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PARATY
1,PARATY,PROMOTORIA DE JUSTIÇA DE PARATY,PROCESSOS JUDICIAIS,FERNANDA CAROLINE PELISSER,08005347420238190041,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PARATY
2,PARATY,PROMOTORIA DE JUSTIÇA DE PARATY,PROCESSOS JUDICIAIS,FERNANDA CAROLINE PELISSER,00000011720248190041,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PARATY
3,PARATY,PROMOTORIA DE JUSTIÇA DE PARATY,PROCESSOS JUDICIAIS,FERNANDA CAROLINE PELISSER,08004633820248190041,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PARATY
4,PARATY,PROMOTORIA DE JUSTIÇA DE PARATY,PROCESSOS JUDICIAIS,FERNANDA CAROLINE PELISSER,00077162820158190041,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PARATY
5,PARATY,PROMOTORIA DE JUSTIÇA DE PARATY,PROCESSOS JUDICIAIS,FERNANDA CAROLINE PELISSER,00014825920178190041,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PARATY
6,PARATY,PROMOTORIA DE JUSTIÇA DE PARATY,PROCESSOS JUDICIAIS,FERNANDA CAROLINE PELISSER,08006131920248190041,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PARATY
7,PARATY,PROMOTORIA DE JUSTIÇA DE PARATY,PROCESSOS JUDICIAIS,FERNANDA CAROLINE PELISSER,08004239020238190041,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PARATY
8,PARATY,PROMOTORIA DE JUSTIÇA DE PARATY,PROCESSOS JUDICIAIS,FERNANDA CAROLINE PELISSER,08000935920248190041,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PARATY
9,PARATY,PROMOTORIA DE JUSTIÇA DE PARATY,PROCESSOS JUDICIAIS,FERNANDA CAROLINE PELISSER,08015454120238190041,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PARATY
10,PARATY,PROMOTORIA DE JUSTIÇA DE PARATY,PROCESSOS JUDICIAIS,FERNANDA CAROLINE PELISSER,08016736120238190041,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PARATY
11,PARATY,PROMOTORIA DE JUSTIÇA DE PARATY,PROCESSOS JUDICIAIS,FERNANDA CAROLINE PELISSER,00874910320248190001,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PARATY
12,PARATY,PROMOTORIA DE JUSTIÇA DE PARATY,PROCESSOS JUDICIAIS,FERNANDA CAROLINE PELISSER,08007174520238190041,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PARATY
13,PARATY,PROMOTORIA DE JUSTIÇA DE PARATY,PROCESSOS JUDICIAIS,FERNANDA CAROLINE PELISSER,00010737820208190041,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PARATY
14,PARATY,PROMOTORIA DE JUSTIÇA DE PARATY,PROCESSOS JUDICIAIS,FERNANDA CAROLINE PELISSER,00007877920108190032,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PARATY
