,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00008280320228190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
1,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,08003148020238190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
2,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,08009002020238190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
3,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,08013956420238190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
4,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00034456720218190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
5,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00034448220218190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
6,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00034421520218190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
7,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00034404520218190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
8,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00033677320218190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
9,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00033642120218190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
10,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00033633620218190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
11,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00033572920218190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
12,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00033304620218190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
13,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00033287620218190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
14,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00033218420218190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
15,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00011999820218190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
16,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00003208620248190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
17,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,08022483920248190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
18,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,08007368920228190072,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
19,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00007536120228190072,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
20,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00004951720238190072,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
21,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,00001311120248190072,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
22,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,PROCESSOS JUDICIAIS,ANDRÉ NOGUEIRA BUONORA,08005676820238190072,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
23,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,INQUÉRITOS POLICIAIS,ANDRÉ NOGUEIRA BUONORA,096019872021,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
24,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,INQUÉRITOS POLICIAIS,ANDRÉ NOGUEIRA BUONORA,096017892021,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
25,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,INQUÉRITOS POLICIAIS,ANDRÉ NOGUEIRA BUONORA,096017632021,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
26,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,INQUÉRITOS POLICIAIS,ANDRÉ NOGUEIRA BUONORA,096019002021,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
27,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,INQUÉRITOS POLICIAIS,ANDRÉ NOGUEIRA BUONORA,096016872021,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
28,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,INQUÉRITOS POLICIAIS,ANDRÉ NOGUEIRA BUONORA,096017332021,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
29,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,INQUÉRITOS POLICIAIS,ANDRÉ NOGUEIRA BUONORA,096019902021,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
30,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,INQUÉRITOS POLICIAIS,ANDRÉ NOGUEIRA BUONORA,096019912021,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
31,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,INQUÉRITOS POLICIAIS,ANDRÉ NOGUEIRA BUONORA,096018702021,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
32,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,INQUÉRITOS POLICIAIS,ANDRÉ NOGUEIRA BUONORA,096017532021,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
33,PATY DO ALFERES,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES,INQUÉRITOS POLICIAIS,ANDRÉ NOGUEIRA BUONORA,096016742021,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PATY DO ALFERES
