,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,PETRÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS,PROCESSOS JUDICIAIS,PEDRO DE OLIVEIRA COUTINHO,00085995920218190042,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS
1,PETRÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS,PROCESSOS JUDICIAIS,PEDRO DE OLIVEIRA COUTINHO,08068965520248190042,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS
2,PETRÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS,PROCESSOS JUDICIAIS,PEDRO DE OLIVEIRA COUTINHO,08122985420238190042,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS
3,PETRÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS,PROCESSOS JUDICIAIS,PEDRO DE OLIVEIRA COUTINHO,08035682020248190042,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS
4,PETRÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS,PROCESSOS JUDICIAIS,PEDRO DE OLIVEIRA COUTINHO,08044277020238190042,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS
5,PETRÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS,PROCESSOS JUDICIAIS,PEDRO DE OLIVEIRA COUTINHO,00386523820128190042,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS
6,PETRÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS,PROCESSOS JUDICIAIS,PEDRO DE OLIVEIRA COUTINHO,08060729620248190042,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS
7,PETRÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS,PROCESSOS JUDICIAIS,PEDRO DE OLIVEIRA COUTINHO,08051972920248190042,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS
8,PETRÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS,PROCESSOS JUDICIAIS,PEDRO DE OLIVEIRA COUTINHO,08065030420228190042,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS
9,PETRÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS,PROCESSOS JUDICIAIS,PEDRO DE OLIVEIRA COUTINHO,08006460620248190042,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS
10,PETRÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS,PROCESSOS JUDICIAIS,PEDRO DE OLIVEIRA COUTINHO,08049071420248190042,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS
11,PETRÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS,PROCESSOS JUDICIAIS,PEDRO DE OLIVEIRA COUTINHO,01000537820238190001,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE PETRÓPOLIS
