,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,PROCESSOS JUDICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,08002137620248190082,29/02/2024,29/02/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
1,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101008252013,21/06/2024,21/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
2,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101010382023,21/06/2024,21/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
3,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101002432022,21/06/2024,21/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
4,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101006712023,21/06/2024,21/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
5,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101009322017,21/06/2024,21/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
6,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101012032023,21/06/2024,21/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
7,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101002752019,21/06/2024,21/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
8,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101011022023,21/06/2024,21/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
9,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,093070882023,21/06/2024,21/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
10,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101009052023,20/06/2024,20/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
11,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101005012021,16/06/2024,16/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
12,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101003662021,16/06/2024,16/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
13,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101004862021,16/06/2024,16/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
14,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101001352022,10/06/2024,10/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
15,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101005602023,08/06/2024,08/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
16,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101007482023,08/06/2024,08/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
17,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101000292023,08/06/2024,08/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
18,PINHEIRAL,PROMOTORIA DE JUSTIÇA DE PINHEIRAL,INQUÉRITOS POLICIAIS,HENRIQUE ARAGÃO CARRARO BASTOS,101011592022,08/06/2024,08/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE PINHEIRAL
