,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,08012038720248190043,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
1,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,00050373320228190066,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
2,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,00003120720218190043,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
3,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,08002713620238190043,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
4,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,08000103720248190043,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
5,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,08012307020248190043,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
6,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,00171687920188190066,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
7,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,00021562120238190043,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
8,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,00101169520198190066,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
9,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,00020121820218190043,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
10,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,08012324020248190043,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
11,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,00009350820208190043,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
12,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,00001744020218190043,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
13,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,00023526420188190043,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
14,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,00018791520178190043,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
15,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,08004771620248190043,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
16,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,08007777520248190043,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
17,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,00002531320228190066,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
18,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,08007855220248190043,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
19,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,08008256820238190043,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
20,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,00019864920238190043,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
21,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,00117537620228190066,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
22,PIRAÍ,PROMOTORIA DE JUSTIÇA DE PIRAÍ,PROCESSOS JUDICIAIS,MARCELO AIROSO PIMENTEL,08007826820228190043,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PIRAÍ
