,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,08016154920238190044,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
1,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,00008386820218190044,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
2,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,00003808520208190044,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
3,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,08017887320238190044,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
4,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,08019194820238190044,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
5,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,00013427420218190044,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
6,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,00005603320228190044,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
7,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,00004388320238190044,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
8,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,00301383920198190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
9,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,00091262720238190014,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
10,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,00019608720198190044,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
11,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,08018354720238190044,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
12,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,00003268020248190044,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
13,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,00010384120228190044,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
14,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,00020948020208190044,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
15,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,00003201020238190044,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
16,PORCIÚNCULA,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA,PROCESSOS JUDICIAIS,MÁRCIO FERREIRA FERNANDES,00002823220228190044,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORCIÚNCULA
