,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,PORTO REAL-QUATIS,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS,PROCESSOS JUDICIAIS,NATÁLIA PEREIRA CORTEZ,00003754020248190071,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS
1,PORTO REAL-QUATIS,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS,PROCESSOS JUDICIAIS,NATÁLIA PEREIRA CORTEZ,00025463820228190071,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS
2,PORTO REAL-QUATIS,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS,PROCESSOS JUDICIAIS,NATÁLIA PEREIRA CORTEZ,00016457020228190071,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS
3,PORTO REAL-QUATIS,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS,PROCESSOS JUDICIAIS,NATÁLIA PEREIRA CORTEZ,00007804720228190071,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS
4,PORTO REAL-QUATIS,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS,PROCESSOS JUDICIAIS,NATÁLIA PEREIRA CORTEZ,00004022320248190071,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS
5,PORTO REAL-QUATIS,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS,PROCESSOS JUDICIAIS,NATÁLIA PEREIRA CORTEZ,00002005620188190071,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS
6,PORTO REAL-QUATIS,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS,PROCESSOS JUDICIAIS,NATÁLIA PEREIRA CORTEZ,00005873220228190071,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS
7,PORTO REAL-QUATIS,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS,PROCESSOS JUDICIAIS,NATÁLIA PEREIRA CORTEZ,00007723620238190071,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS
8,PORTO REAL-QUATIS,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS,PROCESSOS JUDICIAIS,NATÁLIA PEREIRA CORTEZ,00001522420238190071,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS
9,PORTO REAL-QUATIS,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS,PROCESSOS JUDICIAIS,NATÁLIA PEREIRA CORTEZ,00022878720158190071,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE PORTO REAL / QUATIS
