,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08003544320248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
1,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08006558720248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
2,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08010776220248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
3,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08010663320248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
4,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08003535820248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
5,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08012447920248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
6,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08022904020238190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
7,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08047641820228190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
8,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08011122220248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
9,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08025715920248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
10,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08003579520248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
11,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08004271520248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
12,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08004774120248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
13,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08006575720248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
14,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08004730420248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
15,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08007753320248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
16,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08007173020248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
17,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08004765620248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
18,QUEIMADOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS,PROCESSOS JUDICIAIS,DANIELA PESSOA SANTOS VASCONCELOS,08011469420248190067,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE QUEIMADOS
