,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08032278220248190045,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
1,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08050327020248190045,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
2,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,00005201920208190045,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
3,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,00010309520218190045,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
4,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08026223920248190045,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
5,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08008028220248190045,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
6,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08020187820248190045,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
7,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08068855120238190045,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
8,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08017450220248190045,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
9,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08039267320248190045,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
10,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,00006971220228190045,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
11,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,00103571120148190045,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
12,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,00089557920208190045,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
13,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,00068509520228190066,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
14,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,00037206320228190045,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
15,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08039751720248190045,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
16,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08036862120238190045,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
17,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08005568620248190045,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
18,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,00130326320228190045,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
19,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,00122189520158190045,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
20,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08037266620248190045,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
21,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,00077329120208190045,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
22,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08038386920238190045,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
23,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08038889520238190045,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
24,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,00039735120228190045,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
25,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,00072958420198190045,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
26,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08067409220238190045,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
27,RESENDE,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE,PROCESSOS JUDICIAIS,ALINE PALHANO ROCHA COSSERMELLI OLIVEIRA,08042864220238190045,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RESENDE
