,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,PROCESSOS JUDICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,00006039220218190047,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO CLARO
1,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,PROCESSOS JUDICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,00008037020198190047,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO CLARO
2,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,PROCESSOS JUDICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,00007327820138190047,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO CLARO
3,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,PROCESSOS JUDICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,00000200520248190047,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO CLARO
4,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,PROCESSOS JUDICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,00015257120248190066,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO CLARO
5,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,PROCESSOS JUDICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,00001188720248190047,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO CLARO
6,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,PROCESSOS JUDICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,00001482520248190047,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO CLARO
7,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,PROCESSOS JUDICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,00012339520148190047,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO CLARO
8,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,PROCESSOS JUDICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,00006722720218190047,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO CLARO
9,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,PROCESSOS JUDICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,00002091720238190047,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO CLARO
10,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,PROCESSOS JUDICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,00018885720208190047,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO CLARO
11,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,PROCESSOS JUDICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,08001188820238190047,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO CLARO
12,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,PROCESSOS JUDICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,00000825020218190047,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO CLARO
13,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,PROCESSOS JUDICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,00000342820208190047,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO CLARO
14,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,PROCESSOS JUDICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,00002420720238190047,04/07/2024,04/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO CLARO
15,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,INQUÉRITOS POLICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,168005912023,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO CLARO
16,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,INQUÉRITOS POLICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,168005102019,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO CLARO
17,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,INQUÉRITOS POLICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,168005002016,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO CLARO
18,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,INQUÉRITOS POLICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,168007342019,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO CLARO
19,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,INQUÉRITOS POLICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,090023622023,10/07/2024,10/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO CLARO
20,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,INQUÉRITOS POLICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,168001972024,10/07/2024,10/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO CLARO
21,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,INQUÉRITOS POLICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,165001412023,03/07/2024,03/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO CLARO
22,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,INQUÉRITOS POLICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,168006342023,26/06/2024,26/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO CLARO
23,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,INQUÉRITOS POLICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,168000522023,26/06/2024,26/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO CLARO
24,RIO CLARO,PROMOTORIA DE JUSTIÇA DE RIO CLARO,INQUÉRITOS POLICIAIS,MARIA DE LOURDES ALMEIDA DA FONSECA,168006542023,26/06/2024,26/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO CLARO
