,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00003619620228190048,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
1,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00001367620228190048,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
2,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00000348320248190048,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
3,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00000339820248190048,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
4,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00128062920218190066,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
5,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00004250920228190048,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
6,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00001924120248190048,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
7,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00011056620248190066,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
8,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,08000518620248190048,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
9,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,08001295120228190048,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
10,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00001153220248190048,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
11,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00000036320248190048,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
12,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00000301720228190048,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
13,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,08002305420238190048,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
14,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00000685820248190048,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
15,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00001283120248190048,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
16,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,08001113020228190048,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
17,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00003648520218190048,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
18,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,08000950820248190048,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
19,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00002963820218190048,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
20,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00007419520178190048,05/07/2024,05/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
21,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00001583720228190048,05/07/2024,05/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
22,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00011044820188190048,05/07/2024,05/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
23,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,08000709220248190048,03/07/2024,03/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
24,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,00002865720228190048,03/07/2024,03/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
25,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,PROCESSOS JUDICIAIS,GABRIELA BRANDT DE OLIVEIRA,08001927620228190048,19/06/2024,19/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
26,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,INQUÉRITOS POLICIAIS,GABRIELA BRANDT DE OLIVEIRA,092001132023,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
27,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,INQUÉRITOS POLICIAIS,GABRIELA BRANDT DE OLIVEIRA,092000092023,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
28,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,INQUÉRITOS POLICIAIS,GABRIELA BRANDT DE OLIVEIRA,092001872023,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
29,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,INQUÉRITOS POLICIAIS,GABRIELA BRANDT DE OLIVEIRA,092002142021,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
30,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,INQUÉRITOS POLICIAIS,GABRIELA BRANDT DE OLIVEIRA,092001362021,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
31,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,INQUÉRITOS POLICIAIS,GABRIELA BRANDT DE OLIVEIRA,092000692024,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
32,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,INQUÉRITOS POLICIAIS,GABRIELA BRANDT DE OLIVEIRA,092001432023,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
33,RIO DAS FLORES,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES,INQUÉRITOS POLICIAIS,GABRIELA BRANDT DE OLIVEIRA,092000342023,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE RIO DAS FLORES
