,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,00041447020218190068,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
1,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08011592720238190068,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
2,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,01785466920238190001,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
3,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,00302218720198190068,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
4,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08086022920238190068,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
5,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,00043869220228190068,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
6,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08062486520228190068,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
7,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08057734120248190068,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
8,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08086768320238190068,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
9,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08076980920238190068,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
10,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08096979420238190068,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
11,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08073161620238190068,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
12,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,00009710420228190068,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
13,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08064500820238190068,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
14,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08021428920248190068,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
15,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08056227520248190068,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
16,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08039068120228190068,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
17,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08018833120238190068,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
18,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08005123220238190068,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
19,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08021471420248190068,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
20,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08069671320238190068,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
21,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08060448420238190068,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
22,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08036281220248190068,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
23,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08186218020238190202,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
24,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08056227520248190068,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
25,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08039068120228190068,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
26,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08018833120238190068,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
27,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08005123220238190068,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
28,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08021471420248190068,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
29,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08023613920238190068,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
30,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08047032320238190068,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
31,RIO DAS OSTRAS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS,PROCESSOS JUDICIAIS,BRUNO MENEZES SANTAREM,08059281520228190068,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE RIO DAS OSTRAS
