,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,PROCESSOS JUDICIAIS,ÁLAN RIBEIRO DE OLIVEIRA,00006587620178190049,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
1,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,PROCESSOS JUDICIAIS,ÁLAN RIBEIRO DE OLIVEIRA,00001468320238190049,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
2,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,PROCESSOS JUDICIAIS,ÁLAN RIBEIRO DE OLIVEIRA,00000896520238190049,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
3,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,PROCESSOS JUDICIAIS,ÁLAN RIBEIRO DE OLIVEIRA,00005913820228190049,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
4,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,PROCESSOS JUDICIAIS,ÁLAN RIBEIRO DE OLIVEIRA,00001080820228190049,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
5,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,PROCESSOS JUDICIAIS,ÁLAN RIBEIRO DE OLIVEIRA,08000864320248190049,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
6,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,INQUÉRITOS POLICIAIS,ÁLAN RIBEIRO DE OLIVEIRA,156001142023,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
7,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,INQUÉRITOS POLICIAIS,ÁLAN RIBEIRO DE OLIVEIRA,156001862023,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
8,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,INQUÉRITOS POLICIAIS,ÁLAN RIBEIRO DE OLIVEIRA,157000762024,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
9,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,INQUÉRITOS POLICIAIS,ÁLAN RIBEIRO DE OLIVEIRA,156002692023,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
10,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,INQUÉRITOS POLICIAIS,VINICIUS LEAL CAVALLEIRO,156002322022,01/07/2024,01/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
11,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,INQUÉRITOS POLICIAIS,VINICIUS LEAL CAVALLEIRO,156000282024,28/06/2024,28/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
12,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,INQUÉRITOS POLICIAIS,VINICIUS LEAL CAVALLEIRO,156000702024,27/06/2024,27/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
13,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,INQUÉRITOS POLICIAIS,VINICIUS LEAL CAVALLEIRO,156002862023,27/06/2024,27/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
14,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,INQUÉRITOS POLICIAIS,VINICIUS LEAL CAVALLEIRO,157000992023,27/06/2024,27/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
15,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,INQUÉRITOS POLICIAIS,VINICIUS LEAL CAVALLEIRO,156000732020,19/06/2024,19/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
16,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,INQUÉRITOS POLICIAIS,VINICIUS LEAL CAVALLEIRO,156002712022,11/06/2024,11/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
17,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,INQUÉRITOS POLICIAIS,VINICIUS LEAL CAVALLEIRO,156000262022,03/06/2024,03/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
18,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,OUTROS,ÁLAN RIBEIRO DE OLIVEIRA,202400086359,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
19,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,OUTROS,ÁLAN RIBEIRO DE OLIVEIRA,202400623274,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
20,SANTA MARIA MADALENA,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA,OUTROS,ÁLAN RIBEIRO DE OLIVEIRA,202300956687,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DE SANTA MARIA MADALENA
