,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,SANTO ANTÔNIO DE PÁDUA,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA,PROCESSOS JUDICIAIS,FÁBIO DE OLIVEIRA FERREIRA,00074171420218190050,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA
1,SANTO ANTÔNIO DE PÁDUA,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA,PROCESSOS JUDICIAIS,FÁBIO DE OLIVEIRA FERREIRA,00009550720228190050,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA
2,SANTO ANTÔNIO DE PÁDUA,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA,PROCESSOS JUDICIAIS,FÁBIO DE OLIVEIRA FERREIRA,00003993420248190050,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA
3,SANTO ANTÔNIO DE PÁDUA,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA,PROCESSOS JUDICIAIS,FÁBIO DE OLIVEIRA FERREIRA,00002763620248190050,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA
4,SANTO ANTÔNIO DE PÁDUA,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA,PROCESSOS JUDICIAIS,FÁBIO DE OLIVEIRA FERREIRA,01854293220238190001,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA
5,SANTO ANTÔNIO DE PÁDUA,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA,PROCESSOS JUDICIAIS,FÁBIO DE OLIVEIRA FERREIRA,08000690920218190050,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA
6,SANTO ANTÔNIO DE PÁDUA,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA,PROCESSOS JUDICIAIS,FÁBIO DE OLIVEIRA FERREIRA,00001707420248190050,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA
7,SANTO ANTÔNIO DE PÁDUA,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA,PROCESSOS JUDICIAIS,FÁBIO DE OLIVEIRA FERREIRA,00014039620198190013,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA
8,SANTO ANTÔNIO DE PÁDUA,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA,PROCESSOS JUDICIAIS,FÁBIO DE OLIVEIRA FERREIRA,08026433420238190050,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA
9,SANTO ANTÔNIO DE PÁDUA,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA,PROCESSOS JUDICIAIS,FÁBIO DE OLIVEIRA FERREIRA,08007868420228190050,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SANTO ANTÔNIO DE PÁDUA
