,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,SAPUCAIA,PROMOTORIA DE JUSTIÇA DE SAPUCAIA,PROCESSOS JUDICIAIS,VLADIMIR RAMOS DA SILVA,08012857620248190057,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SAPUCAIA
1,SAPUCAIA,PROMOTORIA DE JUSTIÇA DE SAPUCAIA,PROCESSOS JUDICIAIS,VLADIMIR RAMOS DA SILVA,08010155220248190057,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SAPUCAIA
2,SAPUCAIA,PROMOTORIA DE JUSTIÇA DE SAPUCAIA,PROCESSOS JUDICIAIS,VLADIMIR RAMOS DA SILVA,08003622120228190057,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SAPUCAIA
3,SAPUCAIA,PROMOTORIA DE JUSTIÇA DE SAPUCAIA,PROCESSOS JUDICIAIS,VLADIMIR RAMOS DA SILVA,08003709520228190057,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SAPUCAIA
4,SAPUCAIA,PROMOTORIA DE JUSTIÇA DE SAPUCAIA,PROCESSOS JUDICIAIS,VLADIMIR RAMOS DA SILVA,08012640320248190057,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SAPUCAIA
5,SAPUCAIA,PROMOTORIA DE JUSTIÇA DE SAPUCAIA,PROCESSOS JUDICIAIS,VLADIMIR RAMOS DA SILVA,08007756320248190057,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SAPUCAIA
6,SAPUCAIA,PROMOTORIA DE JUSTIÇA DE SAPUCAIA,PROCESSOS JUDICIAIS,VLADIMIR RAMOS DA SILVA,08016746120248190057,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SAPUCAIA
7,SAPUCAIA,PROMOTORIA DE JUSTIÇA DE SAPUCAIA,PROCESSOS JUDICIAIS,VLADIMIR RAMOS DA SILVA,08006211620228190057,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SAPUCAIA
8,SAPUCAIA,PROMOTORIA DE JUSTIÇA DE SAPUCAIA,PROCESSOS JUDICIAIS,VLADIMIR RAMOS DA SILVA,03072922320218190001,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SAPUCAIA
9,SAPUCAIA,PROMOTORIA DE JUSTIÇA DE SAPUCAIA,PROCESSOS JUDICIAIS,VLADIMIR RAMOS DA SILVA,08015862320248190057,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SAPUCAIA
