,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,SAQUAREMA,PROMOTORIA DE JUSTIÇA CÍVEL DE SAQUAREMA,PROCESSOS JUDICIAIS,FELIPE SOARES TAVARES MORAIS,08057072820238190058,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SAQUAREMA
1,SAQUAREMA,PROMOTORIA DE JUSTIÇA CÍVEL DE SAQUAREMA,PROCESSOS JUDICIAIS,FELIPE SOARES TAVARES MORAIS,00003455420188190058,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SAQUAREMA
2,SAQUAREMA,PROMOTORIA DE JUSTIÇA CÍVEL DE SAQUAREMA,PROCESSOS JUDICIAIS,FELIPE SOARES TAVARES MORAIS,00043433520158190058,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SAQUAREMA
3,SAQUAREMA,PROMOTORIA DE JUSTIÇA CÍVEL DE SAQUAREMA,PROCESSOS JUDICIAIS,FELIPE SOARES TAVARES MORAIS,00016939320078190058,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SAQUAREMA
4,SAQUAREMA,PROMOTORIA DE JUSTIÇA CÍVEL DE SAQUAREMA,OUTROS,FELIPE SOARES TAVARES MORAIS,202301106866,09/07/2024,09/07/2024,Carta Precatória Extrajudicial,PROMOTORIA DE JUSTIÇA CÍVEL DE SAQUAREMA
5,SAQUAREMA,PROMOTORIA DE JUSTIÇA CÍVEL DE SAQUAREMA,OUTROS,FELIPE SOARES TAVARES MORAIS,202000972821,05/07/2024,05/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE SAQUAREMA
6,SAQUAREMA,PROMOTORIA DE JUSTIÇA CÍVEL DE SAQUAREMA,OUTROS,STEPHAN STAMM,201900279992,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE SAQUAREMA
7,SAQUAREMA,1ª PROMOTORIA DE JUSTIÇA CRIMINAL DE SAQUAREMA,PROCESSOS JUDICIAIS,CHRISTIANE LOUZÃO ROSMAN,08029462420238190058,01/02/2024,01/02/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA CRIMINAL DE SAQUAREMA
8,SAQUAREMA,1ª PROMOTORIA DE JUSTIÇA CRIMINAL DE SAQUAREMA,PROCESSOS JUDICIAIS,DANTE MENDES BIANCHETTI FILHO,00004664820198190058,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA CRIMINAL DE SAQUAREMA
9,SAQUAREMA,1ª PROMOTORIA DE JUSTIÇA CRIMINAL DE SAQUAREMA,PROCESSOS JUDICIAIS,DANTE MENDES BIANCHETTI FILHO,00087585120218190058,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA CRIMINAL DE SAQUAREMA
