,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00030809520218190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
1,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00068032020248190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
2,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00068006520248190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
3,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00067998020248190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
4,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00046557020238190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
5,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00045474120238190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
6,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00024235620218190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
7,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00019478120228190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
8,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00016232820218190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
9,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00068127920248190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
10,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00067945820248190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
11,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00067885120248190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
12,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00067832920248190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
13,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00002228620248190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
14,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00000548920218190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
15,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00015575820158190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
16,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00000166320108190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
17,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00000980620248190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
18,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00000972120248190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
19,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00056240320148190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
20,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00068006520248190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
21,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00067998020248190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
22,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00046557020238190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
23,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00045474120238190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
24,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00024235620218190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
25,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00019478120228190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
26,SEROPÉDICA,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA,PROCESSOS JUDICIAIS,ALEXEY KOLOUBOFF,00016232820218190077,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SEROPÉDICA
