,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,SILVA JARDIM,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM,PROCESSOS JUDICIAIS,MARCELO MAURICIO BARBOSA ARSENIO,08004338020238190059,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM
1,SILVA JARDIM,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM,PROCESSOS JUDICIAIS,MARCELO MAURICIO BARBOSA ARSENIO,02786293520198190001,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM
2,SILVA JARDIM,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM,PROCESSOS JUDICIAIS,MARCELO MAURICIO BARBOSA ARSENIO,00016137220208190059,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM
3,SILVA JARDIM,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM,PROCESSOS JUDICIAIS,MARCELO MAURICIO BARBOSA ARSENIO,08017265120248190059,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM
4,SILVA JARDIM,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM,PROCESSOS JUDICIAIS,MARCELO MAURICIO BARBOSA ARSENIO,00002025720218190059,05/07/2024,05/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM
5,SILVA JARDIM,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM,INQUÉRITOS POLICIAIS,MARCELO MAURICIO BARBOSA ARSENIO,120004302017,04/07/2024,04/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM
6,SILVA JARDIM,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM,INQUÉRITOS POLICIAIS,MARCELO MAURICIO BARBOSA ARSENIO,120006682023,24/06/2024,24/06/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM
7,SILVA JARDIM,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM,INQUÉRITOS POLICIAIS,MARCELO MAURICIO BARBOSA ARSENIO,120001452021,29/05/2024,29/05/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM
8,SILVA JARDIM,PROMOTORIA DE JUSTIÇA DE SILVA JARDIM,OUTROS,MARCELO MAURICIO BARBOSA ARSENIO,202400314536,11/07/2024,11/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DE SILVA JARDIM
9,SILVA JARDIM,63ª PROMOTORIA ELEITORAL - SILVA JARDIM,PROCESSOS JUDICIAIS,MARCELO MAURICIO BARBOSA ARSENIO,06000389120246190063,09/07/2024,09/07/2024,Processo eleitoral,63ª PROMOTORIA ELEITORAL - SILVA JARDIM
10,SILVA JARDIM,63ª PROMOTORIA ELEITORAL - SILVA JARDIM,PROCESSOS JUDICIAIS,MARCELO MAURICIO BARBOSA ARSENIO,06000370920246190063,09/07/2024,09/07/2024,Processo eleitoral,63ª PROMOTORIA ELEITORAL - SILVA JARDIM
11,SILVA JARDIM,63ª PROMOTORIA ELEITORAL - SILVA JARDIM,PROCESSOS JUDICIAIS,MARCELO MAURICIO BARBOSA ARSENIO,06000406120246190063,09/07/2024,09/07/2024,Processo eleitoral,63ª PROMOTORIA ELEITORAL - SILVA JARDIM
12,SILVA JARDIM,63ª PROMOTORIA ELEITORAL - SILVA JARDIM,PROCESSOS JUDICIAIS,MARCELO MAURICIO BARBOSA ARSENIO,06000397620246190063,09/07/2024,09/07/2024,Processo eleitoral,63ª PROMOTORIA ELEITORAL - SILVA JARDIM
13,SILVA JARDIM,63ª PROMOTORIA ELEITORAL - SILVA JARDIM,OUTROS,MARCELO MAURICIO BARBOSA ARSENIO,202400662945,11/07/2024,11/07/2024,Expediente ouvidoria,63ª PROMOTORIA ELEITORAL - SILVA JARDIM
