,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,SUMIDOURO,PROMOTORIA DE JUSTIÇA DE SUMIDOURO,PROCESSOS JUDICIAIS,SHEILA CRISTINA VARGAS FERREIRA,08001943920248190060,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SUMIDOURO
1,SUMIDOURO,PROMOTORIA DE JUSTIÇA DE SUMIDOURO,PROCESSOS JUDICIAIS,SHEILA CRISTINA VARGAS FERREIRA,08003379620228190060,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SUMIDOURO
2,SUMIDOURO,PROMOTORIA DE JUSTIÇA DE SUMIDOURO,PROCESSOS JUDICIAIS,SHEILA CRISTINA VARGAS FERREIRA,00943547220248190001,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SUMIDOURO
3,SUMIDOURO,PROMOTORIA DE JUSTIÇA DE SUMIDOURO,PROCESSOS JUDICIAIS,SHEILA CRISTINA VARGAS FERREIRA,00004883220218190060,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SUMIDOURO
4,SUMIDOURO,PROMOTORIA DE JUSTIÇA DE SUMIDOURO,PROCESSOS JUDICIAIS,SHEILA CRISTINA VARGAS FERREIRA,08004700720238190060,05/07/2024,05/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SUMIDOURO
5,SUMIDOURO,PROMOTORIA DE JUSTIÇA DE SUMIDOURO,PROCESSOS JUDICIAIS,SHEILA CRISTINA VARGAS FERREIRA,08002284820238190060,04/07/2024,04/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SUMIDOURO
6,SUMIDOURO,PROMOTORIA DE JUSTIÇA DE SUMIDOURO,PROCESSOS JUDICIAIS,SHEILA CRISTINA VARGAS FERREIRA,00006948020208190060,03/07/2024,03/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SUMIDOURO
7,SUMIDOURO,PROMOTORIA DE JUSTIÇA DE SUMIDOURO,PROCESSOS JUDICIAIS,SHEILA CRISTINA VARGAS FERREIRA,08004077920238190060,03/07/2024,03/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SUMIDOURO
8,SUMIDOURO,PROMOTORIA DE JUSTIÇA DE SUMIDOURO,PROCESSOS JUDICIAIS,SHEILA CRISTINA VARGAS FERREIRA,08003529420248190060,02/07/2024,02/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SUMIDOURO
9,SUMIDOURO,PROMOTORIA DE JUSTIÇA DE SUMIDOURO,PROCESSOS JUDICIAIS,SHEILA CRISTINA VARGAS FERREIRA,08003769320228190060,02/07/2024,02/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SUMIDOURO
