,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08002717520248190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
1,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00021977620148190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
2,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00003927320238190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
3,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08013144720248190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
4,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00002910220248190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
5,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08022259320238190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
6,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08023055720238190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
7,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08005141920248190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
8,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08009602220248190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
9,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08021461720238190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
10,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08002189420248190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
11,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00001547519998190025,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
12,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00002815520248190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
13,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08013376120228190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
14,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08005688220248190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
15,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00017487420218190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
16,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00023700320148190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
17,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00023799120168190051,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
18,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00023015820208190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
19,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08012893420248190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
20,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08001634620248190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
21,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08013387520248190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
22,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00004946120248190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
23,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00002859220248190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
24,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00000754120248190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
25,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08003136120238190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
26,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08000538120238190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
27,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08022345520238190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
28,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08015823820238190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
29,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08004431720248190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
30,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08018318620238190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
31,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08015246920228190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
32,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08013433420238190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
33,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08008225520248190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
34,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00016976320218190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
35,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08012893420248190051,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
36,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08013655820248190051,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
37,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00020449620218190051,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
38,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08013136220248190051,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
39,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08017755320238190051,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
40,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08023497620238190051,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
41,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00020449620218190051,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
42,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08013136220248190051,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
43,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08017755320238190051,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
44,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00006081020188190051,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
45,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08023713720238190051,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
46,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08009463820248190051,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
47,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08018153520238190051,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
48,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00125532820218190038,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
49,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00030200620218190051,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
50,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08005506120248190051,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
51,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,08011014120248190051,05/07/2024,05/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
52,SÃO FIDÉLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS,PROCESSOS JUDICIAIS,BRÁULIO GREGÓRIO CAMILO SILVA,00019361420148190051,03/07/2024,03/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO FIDÉLIS
