,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,SÃO FRANCISCO DO ITABAPOANA,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA,PROCESSOS JUDICIAIS,SERGIO RICARDO FERNANDES FONSECA,08001984620248190070,13/07/2024,13/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA
1,SÃO FRANCISCO DO ITABAPOANA,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA,PROCESSOS JUDICIAIS,SERGIO RICARDO FERNANDES FONSECA,00231429520128190070,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA
2,SÃO FRANCISCO DO ITABAPOANA,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA,PROCESSOS JUDICIAIS,SERGIO RICARDO FERNANDES FONSECA,00023366320178190070,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA
3,SÃO FRANCISCO DO ITABAPOANA,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA,PROCESSOS JUDICIAIS,SERGIO RICARDO FERNANDES FONSECA,00018311420138190070,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA
4,SÃO FRANCISCO DO ITABAPOANA,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA,PROCESSOS JUDICIAIS,SERGIO RICARDO FERNANDES FONSECA,00745935520248190001,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA
5,SÃO FRANCISCO DO ITABAPOANA,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA,PROCESSOS JUDICIAIS,SERGIO RICARDO FERNANDES FONSECA,00001276120188190014,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA
6,SÃO FRANCISCO DO ITABAPOANA,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA,PROCESSOS JUDICIAIS,SERGIO RICARDO FERNANDES FONSECA,00016434020218190070,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA
7,SÃO FRANCISCO DO ITABAPOANA,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA,PROCESSOS JUDICIAIS,SERGIO RICARDO FERNANDES FONSECA,00004992620248190070,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA
8,SÃO FRANCISCO DO ITABAPOANA,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA,PROCESSOS JUDICIAIS,SERGIO RICARDO FERNANDES FONSECA,00004984120248190070,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA
9,SÃO FRANCISCO DO ITABAPOANA,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA,PROCESSOS JUDICIAIS,SERGIO RICARDO FERNANDES FONSECA,00004975620248190070,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA
10,SÃO FRANCISCO DO ITABAPOANA,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA,PROCESSOS JUDICIAIS,SERGIO RICARDO FERNANDES FONSECA,00004958620248190070,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO FRANCISCO DO ITABAPOANA
