,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,PROCESSOS JUDICIAIS,LUCIANA BRAGA MARTINHO,00003668520248190004,02/06/2024,02/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
1,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,OUTROS,LUCIANA BRAGA MARTINHO,202400220979,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
2,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,OUTROS,LUCIANA BRAGA MARTINHO,202300866388,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
3,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,OUTROS,LUCIANA BRAGA MARTINHO,202400015470,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
4,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,OUTROS,LUCIANA BRAGA MARTINHO,202400474690,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
5,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,OUTROS,LUCIANA BRAGA MARTINHO,202100997311,12/07/2024,12/07/2024,Inquérito Civil,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
6,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,OUTROS,LUCIANA BRAGA MARTINHO,202400518733,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
7,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,OUTROS,LUCIANA BRAGA MARTINHO,202400015391,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
8,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,OUTROS,LUCIANA BRAGA MARTINHO,202400592211,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
9,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,OUTROS,LUCIANA BRAGA MARTINHO,202300737335,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
10,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,OUTROS,LUCIANA BRAGA MARTINHO,202400192108,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
11,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,OUTROS,LUCIANA BRAGA MARTINHO,202400666428,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
12,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,OUTROS,LUCIANA BRAGA MARTINHO,202300402356,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
13,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,OUTROS,LUCIANA BRAGA MARTINHO,202200874248,12/07/2024,12/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
14,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,OUTROS,LUCIANA BRAGA MARTINHO,202400297026,12/07/2024,12/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
15,SÃO GONÇALO,PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO,OUTROS,LUCIANA BRAGA MARTINHO,202400665198,11/07/2024,11/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA DA PESSOA IDOSA E DA PESSOA COM DEFICIÊNCIA DO NÚCLEO SÃO GONÇALO
