,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,SÃO JOSÉ DO VALE DO RIO PRETO,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA,PROCESSOS JUDICIAIS,ANA BEATRIZ VILLAR DA CUNHA BOTELHO,00000146720228190079,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA
1,SÃO JOSÉ DO VALE DO RIO PRETO,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA,PROCESSOS JUDICIAIS,ANA BEATRIZ VILLAR DA CUNHA BOTELHO,08009300920248190076,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA
2,SÃO JOSÉ DO VALE DO RIO PRETO,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA,PROCESSOS JUDICIAIS,ANA BEATRIZ VILLAR DA CUNHA BOTELHO,08010756520248190076,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA
3,SÃO JOSÉ DO VALE DO RIO PRETO,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA,PROCESSOS JUDICIAIS,ANA BEATRIZ VILLAR DA CUNHA BOTELHO,00005473120198190079,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA
4,SÃO JOSÉ DO VALE DO RIO PRETO,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA,PROCESSOS JUDICIAIS,ANA BEATRIZ VILLAR DA CUNHA BOTELHO,00005666620218190079,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA
5,SÃO JOSÉ DO VALE DO RIO PRETO,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA,PROCESSOS JUDICIAIS,ANA BEATRIZ VILLAR DA CUNHA BOTELHO,00006301320208190079,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA
6,SÃO JOSÉ DO VALE DO RIO PRETO,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA,PROCESSOS JUDICIAIS,ANA BEATRIZ VILLAR DA CUNHA BOTELHO,00008931120218190079,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA
7,SÃO JOSÉ DO VALE DO RIO PRETO,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA,PROCESSOS JUDICIAIS,ANA BEATRIZ VILLAR DA CUNHA BOTELHO,00010383820198190079,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA
8,SÃO JOSÉ DO VALE DO RIO PRETO,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA,PROCESSOS JUDICIAIS,ANA BEATRIZ VILLAR DA CUNHA BOTELHO,00011313020218190079,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA
9,SÃO JOSÉ DO VALE DO RIO PRETO,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA,PROCESSOS JUDICIAIS,ANA BEATRIZ VILLAR DA CUNHA BOTELHO,00011657820168190079,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO VALE DO RIO PRETO E DO FORO REGIONAL DE ITAIPAVA
