,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,08022734620238190053,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
1,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,00034218720238190001,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
2,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,00031534720188190053,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
3,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,00031462120198190053,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
4,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,00028190820218190053,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
5,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,00028144920228190053,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
6,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,08019357220238190053,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
7,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,08002170620248190053,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
8,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,08024787520238190053,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
9,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,00001005320218190053,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
10,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,00001342320248190053,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
11,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,00001489320218190026,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
12,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,00002745720248190053,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
13,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,00004021920208190053,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
14,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,00004584720238190053,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
15,SÃO JOÃO DA BARRA,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA,PROCESSOS JUDICIAIS,LUCAS CALDAS GOMES GAGLIANO,00006045920218190053,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BARRA
