,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,JOÃO CARLOS MENDES DE ABREU,00295236020188190054,13/07/2024,13/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO JOÃO DE MERITI
1,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,JOÃO CARLOS MENDES DE ABREU,00018873720098190054,13/07/2024,13/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO JOÃO DE MERITI
2,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,JOÃO CARLOS MENDES DE ABREU,00190046020178190054,13/07/2024,13/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO JOÃO DE MERITI
3,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,JOÃO CARLOS MENDES DE ABREU,08042036220248190054,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO JOÃO DE MERITI
4,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,JOÃO CARLOS MENDES DE ABREU,08212403920238190054,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO JOÃO DE MERITI
5,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,JOÃO CARLOS MENDES DE ABREU,08135701320248190054,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO JOÃO DE MERITI
6,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO JOÃO DE MERITI,OUTROS,JOÃO CARLOS MENDES DE ABREU,202400601931,15/07/2024,15/07/2024,Expediente ouvidoria,PROMOTORIA DE JUSTIÇA CÍVEL DE SÃO JOÃO DE MERITI
7,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,CARLOS EUGENIO GRECO LAUREANO,00162861720228190054,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI
8,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,CARLOS EUGENIO GRECO LAUREANO,08275116420238190054,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI
9,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,CARLOS EUGENIO GRECO LAUREANO,08084733220248190054,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI
10,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,CARLOS EUGENIO GRECO LAUREANO,08235051420238190054,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI
11,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,CARLOS EUGENIO GRECO LAUREANO,08041042920238190054,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI
12,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,CARLOS EUGENIO GRECO LAUREANO,08084849520238190054,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI
13,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,CARLOS EUGENIO GRECO LAUREANO,00015075720228190054,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI
14,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,CARLOS EUGENIO GRECO LAUREANO,01843071820228190001,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI
15,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,CARLOS EUGENIO GRECO LAUREANO,08098637120238190054,05/07/2024,05/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA JUNTO À 2ª VARA CRIMINAL DE SÃO JOÃO DE MERITI
16,SÃO JOÃO DE MERITI,PROMOTORIA DE JUSTIÇA JUNTO AO JUIZADO DA VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER E ESPECIAL CRIMINAL DE SÃO JOÃO DE MERITI,PROCESSOS JUDICIAIS,RODRIGO LIMA GOMES,00013779620248190054,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA JUNTO AO JUIZADO DA VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER E ESPECIAL CRIMINAL DE SÃO JOÃO DE MERITI
