,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08035742320248190011,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
1,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08028801920248190055,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
2,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08028862620248190055,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
3,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,01674119420228190001,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
4,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08020461620248190055,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
5,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08023565620238190055,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
6,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08008813120248190055,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
7,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08011861520248190055,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
8,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08011917120238190055,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
9,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08050647920238190055,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
10,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08000822220238190055,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
11,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08023562220248190055,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
12,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08035121620228190055,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
13,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08033147620228190055,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
14,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08011498520248190055,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
15,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08048318220238190055,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
16,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,00051250320058190055,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
17,SÃO PEDRO DA ALDEIA,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA,PROCESSOS JUDICIAIS,MICHEL QUEIROZ ZOUCAS,08002205220248190055,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,1ª PROMOTORIA DE JUSTIÇA DE SÃO PEDRO DA ALDEIA
