,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,SÃO SEBASTIÃO DO ALTO,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO,PROCESSOS JUDICIAIS,GIULIANO SETA DE SOUZA ROCHA,00001731120248190056,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO
1,SÃO SEBASTIÃO DO ALTO,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO,PROCESSOS JUDICIAIS,GIULIANO SETA DE SOUZA ROCHA,08003264520238190056,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO
2,SÃO SEBASTIÃO DO ALTO,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO,PROCESSOS JUDICIAIS,GIULIANO SETA DE SOUZA ROCHA,00001255220248190056,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO
3,SÃO SEBASTIÃO DO ALTO,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO,INQUÉRITOS POLICIAIS,GIULIANO SETA DE SOUZA ROCHA,155000812024,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO
4,SÃO SEBASTIÃO DO ALTO,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO,INQUÉRITOS POLICIAIS,GIULIANO SETA DE SOUZA ROCHA,155001112022,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO
5,SÃO SEBASTIÃO DO ALTO,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO,INQUÉRITOS POLICIAIS,GIULIANO SETA DE SOUZA ROCHA,154002772024,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO
6,SÃO SEBASTIÃO DO ALTO,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO,INQUÉRITOS POLICIAIS,GIULIANO SETA DE SOUZA ROCHA,155000292024,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO
7,SÃO SEBASTIÃO DO ALTO,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO,INQUÉRITOS POLICIAIS,GIULIANO SETA DE SOUZA ROCHA,155000522024,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO
8,SÃO SEBASTIÃO DO ALTO,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO,INQUÉRITOS POLICIAIS,GIULIANO SETA DE SOUZA ROCHA,155000282022,12/07/2024,12/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO
9,SÃO SEBASTIÃO DO ALTO,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO,INQUÉRITOS POLICIAIS,GIULIANO SETA DE SOUZA ROCHA,135003372023,10/07/2024,10/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DO ALTO
