,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,TERESÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS,PROCESSOS JUDICIAIS,RODRIGO MOLINARO ZACHARIAS,08109218820238190061,13/07/2024,13/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS
1,TERESÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS,PROCESSOS JUDICIAIS,RODRIGO MOLINARO ZACHARIAS,08101432120238190061,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS
2,TERESÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS,PROCESSOS JUDICIAIS,RODRIGO MOLINARO ZACHARIAS,08106438720238190061,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS
3,TERESÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS,PROCESSOS JUDICIAIS,RODRIGO MOLINARO ZACHARIAS,00045545220218190061,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS
4,TERESÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS,PROCESSOS JUDICIAIS,RODRIGO MOLINARO ZACHARIAS,08063597020228190061,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS
5,TERESÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS,PROCESSOS JUDICIAIS,RODRIGO MOLINARO ZACHARIAS,01617942220238190001,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS
6,TERESÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS,PROCESSOS JUDICIAIS,RODRIGO MOLINARO ZACHARIAS,08004082720248190061,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS
7,TERESÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS,PROCESSOS JUDICIAIS,RODRIGO MOLINARO ZACHARIAS,00168647620108190061,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS
8,TERESÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS,PROCESSOS JUDICIAIS,RODRIGO MOLINARO ZACHARIAS,00032859020128190061,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS
9,TERESÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS,PROCESSOS JUDICIAIS,RODRIGO MOLINARO ZACHARIAS,08005563820248190061,17/04/2024,17/04/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS
10,TERESÓPOLIS,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS,PROCESSOS JUDICIAIS,RODRIGO MOLINARO ZACHARIAS,08080577720238190061,17/04/2024,17/04/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE TERESÓPOLIS
