,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,PROCESSOS JUDICIAIS,SIMONE GOMES DE SOUZA,08000690220238190062,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
1,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,PROCESSOS JUDICIAIS,SIMONE GOMES DE SOUZA,00001135420238190062,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
2,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,PROCESSOS JUDICIAIS,SIMONE GOMES DE SOUZA,00000601020228190062,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
3,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,PROCESSOS JUDICIAIS,SIMONE GOMES DE SOUZA,00016892420198190062,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
4,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,PROCESSOS JUDICIAIS,SIMONE GOMES DE SOUZA,00001334520238190062,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
5,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,PROCESSOS JUDICIAIS,SIMONE GOMES DE SOUZA,00001987420228190062,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
6,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,PROCESSOS JUDICIAIS,SIMONE GOMES DE SOUZA,00000669119978190062,04/07/2024,04/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
7,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,PROCESSOS JUDICIAIS,SIMONE GOMES DE SOUZA,08002252420228190062,03/07/2024,03/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
8,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,PROCESSOS JUDICIAIS,SIMONE GOMES DE SOUZA,08002024420238190062,24/04/2024,24/04/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
9,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,PROCESSOS JUDICIAIS,SIMONE GOMES DE SOUZA,00000344120248190062,03/04/2024,03/04/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
10,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,PROCESSOS JUDICIAIS,SIMONE GOMES DE SOUZA,08005566920238190062,06/03/2024,06/03/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
11,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,INQUÉRITOS POLICIAIS,SIMONE GOMES DE SOUZA,157002802023,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
12,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,INQUÉRITOS POLICIAIS,SIMONE GOMES DE SOUZA,157000642024,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
13,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,INQUÉRITOS POLICIAIS,SIMONE GOMES DE SOUZA,157003532023,11/07/2024,11/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
14,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,INQUÉRITOS POLICIAIS,SIMONE GOMES DE SOUZA,157002382023,10/07/2024,10/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
15,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,INQUÉRITOS POLICIAIS,SIMONE GOMES DE SOUZA,157003002023,10/07/2024,10/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
16,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,INQUÉRITOS POLICIAIS,SIMONE GOMES DE SOUZA,157003032023,09/07/2024,09/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
17,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,INQUÉRITOS POLICIAIS,SIMONE GOMES DE SOUZA,157000182022,08/07/2024,08/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
18,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,INQUÉRITOS POLICIAIS,SIMONE GOMES DE SOUZA,157001752024,05/07/2024,05/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
19,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,INQUÉRITOS POLICIAIS,SIMONE GOMES DE SOUZA,157001332024,04/07/2024,04/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
20,TRAJANO DE MORAES,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES,INQUÉRITOS POLICIAIS,SIMONE GOMES DE SOUZA,157003692023,04/07/2024,04/07/2024,Inquérito policial,PROMOTORIA DE JUSTIÇA DE TRAJANO DE MORAES
