,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,08053130620238190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
1,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,08035806820248190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
2,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,08051875320238190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
3,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,08005433320248190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
4,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,08034411920248190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
5,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,08038733820248190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
6,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,00058751920218190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
7,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,00058795620218190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
8,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,00058969220218190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
9,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,00059038420218190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
10,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,00059141620218190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
11,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,00063429520218190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
12,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,00063446520218190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
13,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,08029077520248190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
14,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,08040861520228190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
15,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,00092846620228190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
16,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,00097549720228190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
17,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,00093529420148190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
18,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,08066364620238190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
19,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,08032220620248190063,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
20,TRÊS RIOS,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS,PROCESSOS JUDICIAIS,VINICIUS RIBEIRO,08042008020248190063,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL E DE FAMÍLIA DE TRÊS RIOS
