,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,VALENÇA,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,00006885620238190064,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA
1,VALENÇA,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,00034529820128190064,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA
2,VALENÇA,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,00007710920228190064,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA
3,VALENÇA,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,00029773020218190064,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA
4,VALENÇA,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,00036058220228190064,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA
5,VALENÇA,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,00046449520148190064,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA
6,VALENÇA,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,00049360720198190064,11/07/2024,11/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA
7,VALENÇA,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,00032134520228190064,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA
8,VALENÇA,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,00040322120188190064,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA
9,VALENÇA,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,00032678420178190064,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA
10,VALENÇA,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,00108164320208190064,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA
11,VALENÇA,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA,PROCESSOS JUDICIAIS,ADRIANA ARAUJO PORTO,00038873320168190064,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VALENÇA
12,VALENÇA,PROMOTORIA DE JUSTIÇA DE FAMÍLIA E DA INFÂNCIA E DA JUVENTUDE DE VALENÇA,PROCESSOS JUDICIAIS,JOÃO LUIZ FERREIRA DE AZEVEDO FILHO,00010571620248190064,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE FAMÍLIA E DA INFÂNCIA E DA JUVENTUDE DE VALENÇA
13,VALENÇA,PROMOTORIA DE JUSTIÇA DE FAMÍLIA E DA INFÂNCIA E DA JUVENTUDE DE VALENÇA,PROCESSOS JUDICIAIS,JOÃO LUIZ FERREIRA DE AZEVEDO FILHO,00009012820248190064,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE FAMÍLIA E DA INFÂNCIA E DA JUVENTUDE DE VALENÇA
14,VALENÇA,PROMOTORIA DE JUSTIÇA DE FAMÍLIA E DA INFÂNCIA E DA JUVENTUDE DE VALENÇA,PROCESSOS JUDICIAIS,JOÃO LUIZ FERREIRA DE AZEVEDO FILHO,08019385720248190064,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE FAMÍLIA E DA INFÂNCIA E DA JUVENTUDE DE VALENÇA
15,VALENÇA,PROMOTORIA DE JUSTIÇA DE FAMÍLIA E DA INFÂNCIA E DA JUVENTUDE DE VALENÇA,PROCESSOS JUDICIAIS,JOÃO LUIZ FERREIRA DE AZEVEDO FILHO,08009564320248190064,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA DE FAMÍLIA E DA INFÂNCIA E DA JUVENTUDE DE VALENÇA
