,Comarca,Orgão de execução,Tipo de documento,Membro,Número,Distribuído em,Submetido em,Tipo,Unidade
0,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,08087158620238190066,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
1,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,08014096920238190065,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
2,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,00013497120198190065,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
3,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,00006342420228190065,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
4,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,00012977020228190065,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
5,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,00009452020198190065,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
6,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,00013046220228190065,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
7,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,00006423520218190065,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
8,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,08004370220238190065,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
9,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,08067082420238190066,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
10,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,08010421120248190065,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
11,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,08010282720248190065,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
12,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,08017474320238190065,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
13,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,08010724620248190065,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
14,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,08019856220238190065,12/07/2024,12/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
15,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,00004717320248190065,10/07/2024,10/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
16,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,00019013620198190065,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
17,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,08007728420248190065,09/07/2024,09/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
18,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,00010791820178190065,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
19,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,00012578820228190065,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
20,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,00012578820228190065,08/07/2024,08/07/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
21,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,08010996320238190065,28/06/2024,28/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
22,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,PROCESSOS JUDICIAIS,RAMON LEITE DE CARVALHO,00001893520248190065,03/06/2024,03/06/2024,Processo judicial de 1ª Instância,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
23,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202200384559,11/07/2024,11/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
24,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202400592696,11/07/2024,11/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
25,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202300379450,09/07/2024,09/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
26,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202200504119,08/07/2024,08/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
27,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,12103,08/07/2024,08/07/2024,Averiguação oficiosa de paternidade,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
28,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202300259728,08/07/2024,08/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
29,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,133,08/07/2024,08/07/2024,Averiguação oficiosa de paternidade,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
30,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202400151834,08/07/2024,08/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
31,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202400650517,08/07/2024,08/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
32,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202300045300,04/07/2024,04/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
33,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202400014522,04/07/2024,04/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
34,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202400218932,04/07/2024,04/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
35,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202301250653,04/07/2024,04/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
36,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,140,04/07/2024,04/07/2024,Averiguação oficiosa de paternidade,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
37,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202400514190,04/07/2024,04/07/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
38,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202200307567,03/07/2024,03/07/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
39,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202200382800,25/06/2024,25/06/2024,Procedimento Administrativo,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
40,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202400476675,25/06/2024,25/06/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
41,VASSOURAS,PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS,OUTROS,RAMON LEITE DE CARVALHO,202300472173,18/06/2024,18/06/2024,Notícia de Fato (Peça de Informação),PROMOTORIA DE JUSTIÇA CÍVEL DE VASSOURAS
